iteration,Episode_Reward/action_rate_l2,Episode_Reward/bat_tracking,Episode_Reward/joint_limit,Episode_Reward/loaded_exit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/bat_tracking,reward/joint_limit,reward/loaded_exit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,,,-31.886428833007812,2.60122942563612e-05,0.3070988953113556,1.2482051849365234,,,,,,,,,,,,,,4.253783226013184,0.0359652042388916,44.0,0.08112898468971252,16.75,2.659212827682495,-0.039716433733701706,1.9775285720825195,0.0,0.0,0.9994931817054749,0.9996873736381531,0.9995078444480896,0.9999465346336365,0.499668151140213,0.4999588429927826,0.9995243549346924,0.0
1,,,,,,,,,,,,,,,,,,,-31.665279388427734,9.999999747378752e-06,-0.04375992342829704,1.6833451986312866,,,,,,,,,,,,,,4.225077152252197,0.015990734100341797,45.0,0.08125843107700348,21.200000762939453,3.365417957305908,-0.04089741036295891,1.974101185798645,0.0,1.9620979307315283e-30,0.9993138313293457,0.9996340870857239,0.9990625977516174,0.9999039769172668,0.49896717071533203,0.49989640712738037,0.9989597201347351,0.0
2,,,,,,,,,,,,,,,,,,,-31.641704559326172,9.999999747378752e-06,-0.04305795952677727,6.600456237792969,,,,,,,,,,,,,,4.086699485778809,0.016021251678466797,46.0,0.08129227161407471,33.28571319580078,5.25797176361084,-0.040425870567560196,1.875569224357605,0.0,2.5228641033172607,0.9872312545776367,0.9936831593513489,0.9906768798828125,0.9991104006767273,0.4926122725009918,0.49986085295677185,0.9945008158683777,0.0
3,,,,,,,,,,,,,,,,,,,-31.636051177978516,9.999999747378752e-06,-0.05086410045623779,20.27198600769043,,,,,,,,,,,,,,3.584578037261963,0.016087055206298828,53.0,0.08129233866930008,33.28571319580078,5.25797176361084,-0.041182100772857666,1.5088058710098267,0.0,10.015528678894043,0.9355604648590088,0.9529221653938293,0.9518482089042664,0.9942924380302429,0.46254071593284607,0.4991888701915741,0.9792416095733643,0.0
4,,,,,,,,,,,,,,,,,,,-31.63816261291504,9.999999747378752e-06,-0.039731573313474655,6.029533386230469,,,,,,,,,,,,,,3.434192180633545,0.016399145126342773,55.0,0.08128436654806137,33.28571319580078,5.25797176361084,-0.03965958580374718,1.2461196184158325,0.0,2.504905939102173,0.9319003224372864,0.9392902851104736,0.9334890246391296,0.9897533059120178,0.4505281448364258,0.49715372920036316,0.970392644405365,0.0
5,,,,,,,,,,,,,,,,,,,-31.638675689697266,9.999999747378752e-06,-0.04360947012901306,9.734034538269043,,,,,,,,,,,,,,3.4573349952697754,0.01657581329345703,55.0,0.08128724992275238,46.875,8.396757125854492,-0.041652023792266846,1.2007484436035156,0.0,5.005499362945557,0.9371212124824524,0.9462294578552246,0.9433724284172058,0.9918059706687927,0.4552876949310303,0.49837586283683777,0.97425776720047,0.0
6,,,,,,,,,,,,,,,,,,,-31.636919021606445,9.999999747378752e-06,-0.04353842884302139,1.3705023527145386,,,,,,,,,,,,,,3.5880167484283447,0.016180038452148438,53.0,0.08129522949457169,67.5,13.019639015197754,-0.03985486552119255,1.4661790132522583,0.0,0.0,0.9450740814208984,0.9501268863677979,0.9629778861999512,0.9943807721138,0.47013819217681885,0.4984625279903412,0.9825050234794617,0.0
7,-0.03978579863905907,1.500126838684082,0.0,3.2044010162353516,0.9538123607635498,0.9610607624053955,0.9613215327262878,0.9944744110107422,0.46971094608306885,0.49875593185424805,0.9821438789367676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-31.635509490966797,9.999999747378752e-06,-0.031527191400527954,1.425489902496338,0.13450944423675537,0.05694286897778511,0.014862644486129284,0.1345563679933548,0.12751130759716034,0.05457290634512901,0.02180047333240509,0.08120465278625488,0.17737102508544922,0.39394068717956543,0.0,0.0,0.0,3.9266812801361084,0.016037702560424805,48.0,0.08129329979419708,86.53845977783203,17.274658203125,-0.039806023240089417,1.7024606466293335,0.0,6.2087806953890025e-28,0.9854066967964172,0.9862268567085266,0.9838228821754456,0.9975432753562927,0.48600900173187256,0.4994807541370392,0.9915375709533691,0.0
8,,,,,,,,,,,,,,,,,,,-31.63602638244629,9.999999747378752e-06,-0.04444633051753044,6.379673004150391,,,,,,,,,,,,,,4.028216361999512,0.016003131866455078,47.0,0.0812978520989418,91.07142639160156,18.285396575927734,-0.04030994325876236,1.82118558883667,0.0,2.502434492111206,0.9807124137878418,0.9857609868049622,0.9884259104728699,0.9986670613288879,0.4904758632183075,0.4997047483921051,0.9937360882759094,0.0
9,,,,,,,,,,,,,,,,,,,-31.6310977935791,9.999999747378752e-06,-0.0488177053630352,15.685643196105957,,,,,,,,,,,,,,3.7461910247802734,0.016222000122070312,51.0,0.0813174769282341,95.0,19.167461395263672,-0.0408037044107914,1.6045194864273071,0.0,7.5069050788879395,0.9524636268615723,0.9672985076904297,0.9641004204750061,0.9957237243652344,0.47192153334617615,0.49920782446861267,0.9834347367286682,0.0
