iteration,Episode_Reward/action_rate,Episode_Reward/batting,Episode_Reward/failure,Episode_Reward/upright,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/batting,reward/failure,reward/upright
0,,,,,,,,-1.3507308959960938,2.9629629352712072e-05,-0.03272828832268715,5.088820934295654,0.5248658657073975,0.027994155883789062,173.0,0.1991318017244339,14.333333015441895,-4.679312705993652,-0.0055948481895029545,0.880818784236908,-7.8125,0.9999094605445862
1,,,,,,,,-1.3631466627120972,0.00022499999613501132,-0.013949590735137463,3.487671375274658,0.4417407512664795,0.012174129486083984,211.0,0.1993636190891266,14.666666984558105,-4.6699018478393555,-0.00559531943872571,0.2482955902814865,-7.8125,0.9997098445892334
2,,,,,,,,-1.3411786556243896,6.666666740784422e-05,-0.029444145038723946,1.9057002067565918,0.5013570785522461,0.011762857437133789,187.0,0.20007669925689697,20.428571701049805,-4.535059928894043,-0.005113056395202875,0.6557634472846985,-2.6041667461395264,0.9996626973152161
3,,,,,,,,-1.3383163213729858,9.999999747378752e-05,-0.016958583146333694,0.3017362952232361,0.4379880428314209,0.012446165084838867,213.0,0.19948478043079376,29.125,-3.5465283393859863,-0.00534373102709651,0.7061691284179688,0.0,0.9996744990348816
4,,,,,,,,-1.3534603118896484,9.999999747378752e-05,-0.03268515318632126,1.2271664142608643,0.44094395637512207,0.01192021369934082,211.0,0.19948209822177887,27.77777862548828,-3.6583669185638428,-0.00626482954248786,0.05890663340687752,-2.6041667461395264,0.9997469782829285
5,,,,,,,,-1.3441011905670166,0.00022499999613501132,-0.015362702310085297,0.1714574098587036,0.43598198890686035,0.012178897857666016,214.0,0.2000371813774109,35.0,-3.0735857486724854,-0.005833526607602835,0.7632477283477783,0.0,0.9997239112854004
6,-0.0035337621811777353,0.3094223439693451,-1.25,0.5698398351669312,0.0,0.5,0.5,-1.3293559551239014,9.999999747378752e-05,-0.02767922170460224,1.4578022956848145,0.4471559524536133,0.012266159057617188,208.0,0.20018377900123596,38.66666793823242,-2.6860787868499756,-0.006031896453350782,0.08744072169065475,-2.6041667461395264,0.9997552037239075
7,-0.005757560953497887,0.6779223680496216,0.0,0.9997062087059021,0.0,0.0,1.0,-1.3278751373291016,9.999999747378752e-05,-0.0226617231965065,0.08541708439588547,0.432858943939209,0.012480974197387695,215.0,0.20023177564144135,43.38461685180664,-2.2222464084625244,-0.005373903084546328,0.2063654512166977,0.0,0.999763548374176
8,,,,,,,,-1.3285366296768188,0.0001500000071246177,-0.019063057377934456,0.023209083825349808,0.4320342540740967,0.011852741241455078,216.0,0.2001311480998993,47.42856979370117,-1.8178601264953613,-0.00555792823433876,0.00566204683855176,0.0,0.999735414981842
9,,,,,,,,-1.3348643779754639,9.999999747378752e-05,-0.0320390984416008,0.03317618742585182,0.4323279857635498,0.011809110641479492,216.0,0.19987651705741882,50.93333435058594,-1.5521034002304077,-0.005849167704582214,0.1129758358001709,0.0,0.9997766017913818
10,,,,,,,,-1.3454052209854126,6.666666740784422e-05,-0.03198621794581413,0.14891484379768372,0.4300992488861084,0.012597799301147461,216.0,0.19963562488555908,54.0,-1.3194888830184937,-0.005626461002975702,0.609188973903656,0.0,0.9997071623802185
11,,,,,,,,-1.3508738279342651,0.00022499999613501132,-0.023717623203992844,0.05153883248567581,0.4333779811859131,0.011593103408813477,215.0,0.1994946151971817,56.70588302612305,-1.1116141080856323,-0.006743461359292269,0.2427169233560562,0.0,0.9997772574424744
12,,,,,,,,-1.3555080890655518,4.444444493856281e-05,-0.016265524551272392,0.008296485058963299,0.43547987937927246,0.011697053909301758,214.0,0.1994585245847702,59.11111068725586,-0.9273909330368042,-0.00525631895288825,0.02520778216421604,0.0,0.999727725982666
13,,,,,,,,-1.3553886413574219,0.0001500000071246177,-0.013786646537482738,0.029972558841109276,0.4316878318786621,0.01238393783569336,216.0,0.199594184756279,61.26315689086914,-0.7123590707778931,-0.005715510342270136,0.11653082817792892,0.0,0.9998252391815186
14,,,,,,,,-1.3442860841751099,6.666666740784422e-05,-0.017629191279411316,0.017134662717580795,0.4200551509857178,0.011924028396606445,222.0,0.2000904083251953,63.20000076293945,-0.5643872022628784,-0.0057642036117613316,0.10432597994804382,0.0,0.9997616410255432
15,,,,,,,,-1.329298973083496,9.999999747378752e-05,-0.02250799350440502,0.040189359337091446,0.44631290435791016,0.011623144149780273,209.0,0.2004573494195938,64.95237731933594,-0.430671364068985,-0.005792929325252771,0.11868667602539062,0.0,0.9998087286949158
16,,,,,,,,-1.317673921585083,0.0001500000071246177,-0.013423792086541653,0.007952628657221794,0.42112088203430176,0.012160062789916992,221.0,0.20076625049114227,66.54545593261719,-0.31051552295684814,-0.005545169115066528,0.10049303621053696,0.0,0.9997311234474182
17,,,,,,,,-1.3083243370056152,6.666666740784422e-05,-0.021185660734772682,0.02510802634060383,0.4321761131286621,0.012751102447509766,215.0,0.20101968944072723,68.0,-0.20192992687225342,-0.006181750446557999,0.1046610102057457,0.0,0.999841034412384
18,,,,,,,,-1.302313208580017,9.999999747378752e-05,-0.027042871341109276,0.23026485741138458,0.4313070774078369,0.011767864227294922,216.0,0.20107342302799225,68.0,-0.20192992687225342,-0.005724699702113867,0.8304536938667297,0.0,0.9997404217720032
19,,,,,,,,-1.3080438375473022,6.666666740784422e-05,-0.0229609627276659,0.04313381761312485,0.44077491760253906,0.012189149856567383,211.0,0.20069386065006256,70.55999755859375,-0.009924430400133133,-0.005721492692828178,0.11226511001586914,0.0,0.9997660517692566
20,,,,,,,,-1.3194305896759033,0.0001500000071246177,-0.020530197769403458,0.005543066654354334,0.4214489459991455,0.012499094009399414,221.0,0.2003839612007141,70.55999755859375,-0.009924430400133133,-0.005819413345307112,0.12996329367160797,0.0,0.9996957778930664
21,,,,,,,,-1.332829236984253,6.666666740784422e-05,-0.023718146607279778,0.029436249285936356,0.4315969944000244,0.012274980545043945,216.0,0.1999790072441101,71.69230651855469,0.07486054301261902,-0.005540504585951567,0.09172973781824112,0.0,0.9997836947441101
22,-0.004944069776684046,0.4548669457435608,-1.25,0.8647520542144775,0.0,0.5,0.5,-1.3444691896438599,6.666666740784422e-05,-0.030621059238910675,3.097313404083252,0.4485790729522705,0.011474847793579102,208.0,0.19968648254871368,72.75,0.07875262945890427,-0.00537314685061574,0.103685162961483,-2.6041667461395264,0.9997777342796326
