iteration,Episode_Reward/action_rate,Episode_Reward/batting,Episode_Reward/failure,Episode_Reward/upright,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/batting,reward/failure,reward/upright
0,,,,,,,,-1.349058747291565,2.9629629352712072e-05,-0.03308369964361191,5.095290184020996,0.42800188064575195,0.03556108474731445,207.0,0.19920898973941803,14.0,-4.687793731689453,-0.005582120735198259,0.942642867565155,-7.8125,0.9999119639396667
1,,,,,,,,-1.365755319595337,0.0003375000087544322,-0.01435835100710392,5.028875827789307,0.39737868309020996,0.014516115188598633,233.0,0.19887040555477142,15.0,-4.654270172119141,-0.005485080648213625,0.23479042947292328,-10.416666984558105,0.9997095465660095
2,,,,,,,,-1.370882511138916,4.444444493856281e-05,-0.030289625748991966,3.352045774459839,0.4048161506652832,0.010501861572265625,231.0,0.19900748133659363,19.44444465637207,-4.549801349639893,-0.00504419906064868,0.9695613980293274,-5.208333492279053,0.999779999256134
3,,,,,,,,-1.3749783039093018,0.00022499999613501132,-0.013383391313254833,0.3318825364112854,0.3926088809967041,0.010500192642211914,238.0,0.19833430647850037,26.5,-3.7450757026672363,-0.005297643598169088,0.8209565281867981,0.0,0.999629557132721
4,,,,,,,,-1.401885747909546,6.666666740784422e-05,-0.038307465612888336,1.2606923580169678,0.38707685470581055,0.012125968933105469,240.0,0.19795972108840942,25.81818199157715,-3.809572458267212,-0.006171113345772028,0.08733082562685013,-2.6041667461395264,0.9997150301933289
5,,,,,,,,-1.39811372756958,0.00022499999613501132,-0.01797238364815712,0.053980011492967606,0.37745094299316406,0.01110696792602539,247.0,0.1986013650894165,25.81818199157715,-3.809572458267212,-0.005714337807148695,0.1117578074336052,0.0,0.9997443556785583
6,-0.004125370644032955,0.3465745151042938,-0.8333333134651184,0.7131384015083313,0.0,0.3333333432674408,0.6666666865348816,-1.3779075145721436,6.666666740784422e-05,-0.03238774091005325,1.3935893774032593,0.40249013900756836,0.010449886322021484,232.0,0.19881920516490936,35.57143020629883,-2.8979835510253906,-0.005893874913454056,0.00372324138879776,-2.6041667461395264,0.9998235702514648
7,-0.0032392952125519514,0.34465792775154114,-1.25,0.5748481154441833,0.0,1.0,0.5,-1.3757869005203247,9.999999747378752e-05,-0.024084070697426796,2.601710081100464,0.39571595191955566,0.010601043701171875,236.0,0.1988247036933899,36.94117736816406,-2.7398016452789307,-0.005247908178716898,1.3455759286880493,-5.208333492279053,0.9998495578765869
8,,,,,,,,-1.3809486627578735,9.999999747378752e-05,-0.019842619076371193,0.04332777112722397,0.3887009620666504,0.010901927947998047,240.0,0.1985287368297577,40.44444274902344,-2.4651939868927,-0.0054466575384140015,0.12146955728530884,0.0,0.9995433688163757
9,,,,,,,,-1.3861358165740967,6.666666740784422e-05,-0.03154882788658142,0.05582577735185623,0.3723602294921875,0.09558391571044922,205.0,0.1986246556043625,40.44444274902344,-2.4651939868927,-0.005785755813121796,0.10360578447580338,0.0,0.9997237324714661
10,,,,,,,,-1.3820098638534546,9.999999747378752e-05,-0.021206075325608253,0.027682285755872726,0.3767862319946289,0.010632991790771484,247.0,0.19879032671451569,40.44444274902344,-2.4651939868927,-0.005591875407844782,3.468886643531732e-05,0.0,0.9997501373291016
