iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
10,,,,,,,,,,-5.756905555725098,8.77914935699664e-05,-0.05546765774488449,0.07184703648090363,0.04966020584106445,0.015546798706054688,1472.0,0.19837431609630585,124.5999984741211,-3.8677093982696533,-0.02394265867769718,-0.31694138050079346,-1.8348811864852905,-1.003225564956665,-1.643224835395813,1.9621995687484741,-0.0060681793838739395
11,,,,,,,,,,-5.780276298522949,5.852766480529681e-05,-0.05759372189640999,0.6881437301635742,0.0406489372253418,0.012856006622314453,1794.0,0.19814932346343994,124.5999984741211,-3.8677093982696533,-0.02308277226984501,-1.1682718992233276,-6.908392429351807,-1.5278295278549194,-1.265190839767456,1.768154501914978,-0.007592127192765474
12,-0.011043942533433437,-0.21225605905056,-1.2675474882125854,-0.40757128596305847,-0.4827319085597992,0.9370676875114441,-0.0029760461766272783,1.0,0.0,-5.814684867858887,0.0001316872367169708,-0.04816360026597977,0.09090382605791092,0.05352616310119629,0.014404773712158203,1413.0,0.1978999674320221,132.625,-4.045259952545166,-0.022319277748465538,-0.386023610830307,-3.139453887939453,-0.5316205620765686,-0.49418941140174866,1.9128961563110352,-0.009774224832654
13,,,,,,,,,,-5.847472190856934,5.852766480529681e-05,-0.0629897192120552,0.09969589114189148,0.052660226821899414,0.012969017028808594,1462.0,0.19775879383087158,133.77777099609375,-4.011280536651611,-0.02385367639362812,-0.47034919261932373,-2.6399075984954834,-0.5052416920661926,-0.4330459535121918,1.9143134355545044,-0.004875335842370987
14,,,,,,,,,,-5.86212158203125,5.852766480529681e-05,-0.04428743198513985,0.008626557886600494,0.052272796630859375,0.012392044067382812,1484.0,0.19764599204063416,133.77777099609375,-4.011280536651611,-0.02307213842868805,-0.12591926753520966,-0.2996748983860016,-0.4480075538158417,-0.6627703309059143,1.9975777864456177,-0.0025270988699048758
15,,,,,,,,,,-5.8784661293029785,5.852766480529681e-05,-0.05018482357263565,0.009686755947768688,0.050583839416503906,0.012202978134155273,1528.0,0.19759610295295715,133.77777099609375,-4.011280536651611,-0.02262512780725956,-0.11508070677518845,-0.5960183143615723,-0.8084034323692322,-1.2158700227737427,1.996811866760254,-0.005018606781959534
16,,,,,,,,,,-5.881196975708008,5.852766480529681e-05,-0.054366324096918106,0.03915596753358841,0.04331707954406738,0.011960029602050781,1736.0,0.1975770890712738,133.77777099609375,-4.011280536651611,-0.02186102420091629,-0.27143630385398865,-1.6168135404586792,-0.992213249206543,-1.622052788734436,1.9713834524154663,-0.006451149936765432
17,,,,,,,,,,-5.883694171905518,3.9018443203531206e-05,-0.057545147836208344,0.3040991425514221,0.038580894470214844,0.013783931732177734,1833.0,0.1975853592157364,133.77777099609375,-4.011280536651611,-0.024082861840724945,-1.1811411380767822,-5.423621654510498,-1.478995680809021,-1.4200935363769531,1.7934741973876953,-0.009534865617752075
18,-0.01120844203978777,-0.2114524245262146,-1.1385167837142944,-0.4030698537826538,-0.47995784878730774,0.9393255114555359,-0.0033961646258831024,1.0,0.0,-5.892948627471924,0.0001316872367169708,-0.04661945998668671,0.24307653307914734,0.05696988105773926,0.013182878494262695,1368.0,0.19736002385616302,136.9166717529297,-3.9896676540374756,-0.024076253175735474,-0.5014548301696777,-3.9641551971435547,-0.7252152562141418,-0.5428468585014343,1.8704763650894165,-0.012031388469040394
19,,,,,,,,,,-5.937156677246094,5.852766480529681e-05,-0.059417661279439926,0.0790461078286171,0.05321907997131348,0.012083053588867188,1470.0,0.19715842604637146,137.23077392578125,-3.980907917022705,-0.021554626524448395,-0.4061303436756134,-2.4283430576324463,-0.44070613384246826,-0.37325039505958557,1.9178533554077148,-0.00580478273332119
