iteration,Episode_Reward/action_rate_l2,Episode_Reward/bat_tracking,Episode_Reward/joint_limit,Episode_Reward/loaded_exit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/bat_tracking,reward/joint_limit,reward/loaded_exit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
10,,,,,,,,,,,,,,,,,,,-31.628175735473633,9.999999747378752e-06,-0.040230538696050644,7.617755889892578,,,,,,,,,,,,,,3.578626871109009,0.016087055206298828,53.0,0.0813266709446907,95.0,19.25672721862793,-0.04009811207652092,1.3411239385604858,0.0,5.024522304534912,0.9268733859062195,0.9389340877532959,0.9341907501220703,0.9897125363349915,0.44715335965156555,0.4984772205352783,0.9736467003822327,0.0
11,,,,,,,,,,,,,,,,,,,-31.621692657470703,9.999999747378752e-06,-0.03927287459373474,6.1055498123168945,,,,,,,,,,,,,,3.524930238723755,0.01611804962158203,54.0,0.0813417062163353,95.0,19.25672721862793,-0.04066266864538193,1.3177090883255005,0.0,2.519958734512329,0.9354750514030457,0.9478936195373535,0.9488922953605652,0.9923112988471985,0.4630315601825714,0.4978640079498291,0.9758054614067078,0.0
12,,,,,,,,,,,,,,,,,,,-31.615781784057617,9.999999747378752e-06,-0.025862382724881172,2.9464468955993652,,,,,,,,,,,,,,3.987774133682251,0.016680002212524414,47.0,0.08136188238859177,101.47058868408203,20.715248107910156,-0.03940834850072861,1.3911293745040894,0.0,2.5192110538482666,0.9486281275749207,0.9547665119171143,0.9533936381340027,0.9926421642303467,0.4634300172328949,0.49878165125846863,0.9790989756584167,0.0
13,,,,,,,,,,,,,,,,,,,-31.608135223388672,9.999999747378752e-06,-0.03819461539387703,1.2193228006362915,,,,,,,,,,,,,,4.012251853942871,0.015841960906982422,47.0,0.08138403296470642,108.75,22.363719940185547,-0.041048314422369,1.7204300165176392,0.0,9.111382744886393e-41,0.9759107232093811,0.9782021641731262,0.9828922748565674,0.9974057078361511,0.48748302459716797,0.49920475482940674,0.9910564422607422,0.0
14,,,,,,,,,,,,,,,,,,,-31.601356506347656,9.999999747378752e-06,-0.035672519356012344,1.3501001596450806,,,,,,,,,,,,,,4.136987686157227,0.016848087310791016,46.0,0.08139579743146896,112.5,23.208589553833008,-0.04037899896502495,1.7995738983154297,0.0,0.0018489863723516464,0.9848313927650452,0.9895175099372864,0.98775315284729,0.9983090758323669,0.49054625630378723,0.49964356422424316,0.9937837719917297,0.0
15,,,,,,,,,,,,,,,,,,,-31.601741790771484,9.999999747378752e-06,-0.045148495584726334,8.023422241210938,,,,,,,,,,,,,,4.006989002227783,0.016948938369750977,47.0,0.08138067275285721,114.13043212890625,23.575273513793945,-0.041820671409368515,1.708365797996521,0.0,5.031789302825928,0.9619227051734924,0.975744903087616,0.9731685519218445,0.99639493227005,0.47762537002563477,0.49946311116218567,0.9881789088249207,0.0
16,,,,,,,,,,,,,,,,,,,-31.605859756469727,9.999999747378752e-06,-0.034539833664894104,9.099861145019531,,,,,,,,,,,,,,3.6850979328155518,0.016837120056152344,51.0,0.08138242363929749,114.13043212890625,23.575273513793945,-0.04072001948952675,1.349174976348877,0.0,7.572150707244873,0.9231287837028503,0.9416261315345764,0.9325131773948669,0.9899713397026062,0.4450245201587677,0.4986685514450073,0.9720954895019531,0.0
17,,,,,,,,,,,,,,,,,,,-31.601816177368164,9.999999747378752e-06,-0.04266117513179779,7.324294567108154,,,,,,,,,,,,,,3.663555145263672,0.016483783721923828,52.0,0.0813993439078331,114.13043212890625,23.575273513793945,-0.03960028663277626,1.3466018438339233,0.0,5.01449728012085,0.9300567507743835,0.9410708546638489,0.9505038261413574,0.9926214218139648,0.46426376700401306,0.4978663921356201,0.9772807955741882,0.0
18,,,,,,,,,,,,,,,,,,,-31.593852996826172,9.999999747378752e-06,-0.03332749754190445,4.631795883178711,,,,,,,,,,,,,,3.775026798248291,0.01653003692626953,50.0,0.08143439143896103,115.625,23.912647247314453,-0.040371522307395935,1.3700441122055054,0.0,2.516392946243286,0.942445695400238,0.9519131779670715,0.9496557116508484,0.992128312587738,0.4600318670272827,0.4984935522079468,0.9766727089881897,0.0
19,,,,,,,,,,,,,,,,,,,-31.580631256103516,9.999999747378752e-06,-0.04634105786681175,0.9248159527778625,,,,,,,,,,,,,,3.968561887741089,0.015799999237060547,48.0,0.08146625012159348,120.53571319580078,25.02150535583496,-0.04151463136076927,1.6122246980667114,0.0,0.0,0.9697606563568115,0.9722921252250671,0.9765504002571106,0.9962888360023499,0.48291102051734924,0.49898624420166016,0.988375723361969,0.0
