iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,,-25.62005615234375,2.60122942563612e-05,0.2105141133069992,0.8467504382133484,,,,,,,,,,,,,,11.661581039428711,0.05118083953857422,16.0,0.10005415976047516,,,-0.05798736587166786,0.0,0.9973433613777161,0.9990329742431641,0.999147891998291,0.9999344348907471,0.49942269921302795,0.4999541938304901,0.9992115497589111,0.0
1,,,,,,,,,,,,,,,,,,-25.61505889892578,9.999999747378752e-06,-0.02854744903743267,1.0142754316329956,,,,,,,,,,,,,,10.916664123535156,0.020924806594848633,17.0,0.10004902631044388,,,-0.06082218885421753,0.0,0.9929980635643005,0.9974156022071838,0.9974641799926758,0.9997928738594055,0.49824997782707214,0.4998812973499298,0.9977099299430847,0.0
2,,,,,,,,,,,,,,,,,,-25.616933822631836,3.3749998692655936e-05,-0.027468346059322357,0.9546620845794678,,,,,,,,,,,,,,10.065105438232422,0.02707195281982422,19.0,0.10003199428319931,,,-0.05649666115641594,0.0,0.9812161326408386,0.993116557598114,0.992710292339325,0.9995301365852356,0.494159460067749,0.4998649060726166,0.9945858120918274,0.0
3,,,,,,,,,,,,,,,,,,-25.61077308654785,1.4999999621068127e-05,-0.033981360495090485,0.8261134028434753,,,,,,,,,,,,,,9.763570785522461,0.021491289138793945,19.0,0.10010619461536407,,,-0.058468181639909744,0.0,0.9672350287437439,0.9886481761932373,0.9873351454734802,0.9992424845695496,0.48944613337516785,0.4998265206813812,0.9914429783821106,0.0
4,,,,,,,,,,,,,,,,,,-25.590290069580078,2.2500000341096893e-05,-0.03547775745391846,0.8341186046600342,,,,,,,,,,,,,,9.834510803222656,0.021518945693969727,19.0,0.10017489641904831,,,-0.05905750393867493,0.0,0.9590379595756531,0.9859039187431335,0.9839819073677063,0.999074399471283,0.4867483079433441,0.4998011589050293,0.9898197650909424,0.0
5,,,,,,,,,,,,,,,,,,-25.570127487182617,1.4999999621068127e-05,-0.0345112606883049,0.7660069465637207,,,,,,,,,,,,,,9.271833419799805,0.02449798583984375,20.0,0.10024195909500122,,,-0.060404736548662186,0.0,0.9520261883735657,0.9829416275024414,0.9812801480293274,0.9987229704856873,0.48452094197273254,0.49950847029685974,0.9878506064414978,0.0
6,,,,,,,,,,,,,,,,,,-25.548297882080078,2.2500000341096893e-05,-0.028992371633648872,0.7120155096054077,,,,,,,,,,,,,,8.599129676818848,0.019984960556030273,22.0,0.10034533590078354,,,-0.05826614424586296,0.0,0.9499961733818054,0.9822039008140564,0.9800097942352295,0.9985994696617126,0.48352253437042236,0.49966171383857727,0.9858741760253906,0.0
7,,,,,,,,,,,,,,,,,,-25.52439308166504,1.4999999621068127e-05,-0.041319116950035095,0.6346098780632019,,,,,,,,,,,,,,6.868522644042969,0.022745847702026367,27.0,0.10038129985332489,,,-0.0612909309566021,0.0,0.9459059238433838,0.9813749194145203,0.9502419829368591,0.9970152974128723,0.47926440834999084,0.49687710404396057,0.9424424171447754,0.0
8,,,,,,,,,,,,,,,,,,-25.517730712890625,1.4999999621068127e-05,-0.03177835792303085,0.5731901526451111,,,,,,,,,,,,,,10.931879043579102,0.032826900482177734,17.0,0.10039910674095154,212.0,24.701295852661133,-0.06303981691598892,0.0,0.9665026068687439,0.9517623782157898,0.85772305727005,0.9815773367881775,0.4512149393558502,0.4599733352661133,0.9080552458763123,0.0
9,,,,,,,,,,,,,,,,,,-25.51595115661621,2.2500000341096893e-05,-0.029972488060593605,0.623327374458313,,,,,,,,,,,,,,8.55026912689209,0.021049022674560547,22.0,0.10039518028497696,232.14285278320312,26.38258934020996,-0.06208619475364685,0.0,0.8935018181800842,0.6699409484863281,0.5970383286476135,0.8680716156959534,0.3213864266872406,0.2962723672389984,0.9208405613899231,0.0
