iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,,-25.620708465576172,2.60122942563612e-05,0.20971855521202087,0.846811830997467,,,,,,,,,,,,,,31.367511749267578,0.03344225883483887,6.0,0.10004732757806778,,,-0.057993385940790176,0.0,0.9973225593566895,0.9990244507789612,0.9991415143013,0.9999335408210754,0.49941861629486084,0.4999537169933319,0.9992050528526306,0.0
1,,,,,,,,,,,,,,,,,,-25.617616653442383,9.999999747378752e-06,-0.02844112552702427,1.0140401124954224,,,,,,,,,,,,,,31.69278907775879,0.028777122497558594,6.0,0.10003861784934998,,,-0.06081094220280647,0.0,0.9928272366523743,0.9973617196083069,0.9974238276481628,0.9997902512550354,0.4982168674468994,0.499880313873291,0.9976908564567566,0.0
2,,,,,,,,,,,,,,,,,,-25.62038803100586,3.3749998692655936e-05,-0.027868252247571945,0.9545179009437561,,,,,,,,,,,,,,31.867080688476562,0.029732227325439453,6.0,0.1000177338719368,,,-0.05648123845458031,0.0,0.9809222221374512,0.9930179119110107,0.9926503300666809,0.9995272159576416,0.49408236145973206,0.49986469745635986,0.9945502281188965,0.0
3,,,,,,,,,,,,,,,,,,-25.615245819091797,1.4999999621068127e-05,-0.03353945538401604,0.826508641242981,,,,,,,,,,,,,,32.38245391845703,0.02932906150817871,5.0,0.10009012371301651,,,-0.05844105780124664,0.0,0.9671198725700378,0.9885608553886414,0.9872903823852539,0.9992393851280212,0.48935139179229736,0.499824196100235,0.9914107918739319,0.0
4,,,,,,,,,,,,,,,,,,-25.595197677612305,2.2500000341096893e-05,-0.0356527604162693,0.8249759078025818,,,,,,,,,,,,,,31.257429122924805,0.031043052673339844,6.0,0.10015645623207092,,,-0.0590454526245594,0.0,0.959181010723114,0.9859355092048645,0.9841303825378418,0.9990808367729187,0.4868217706680298,0.49980103969573975,0.9898445010185242,0.0
5,,,,,,,,,,,,,,,,,,-25.575572967529297,1.4999999621068127e-05,-0.03503347560763359,0.7636687755584717,,,,,,,,,,,,,,28.367389678955078,0.03518223762512207,6.0,0.10022179037332535,,,-0.06059075519442558,0.0,0.9520856738090515,0.9829985499382019,0.9813234210014343,0.9987044930458069,0.484444260597229,0.49945688247680664,0.9876216053962708,0.0
6,,,,,,,,,,,,,,,,,,-25.55497169494629,2.2500000341096893e-05,-0.029028749093413353,0.7395599484443665,,,,,,,,,,,,,,30.396190643310547,0.03862905502319336,6.0,0.1003175899386406,,,-0.05805863067507744,0.0,0.949402391910553,0.9825568795204163,0.9801402688026428,0.9986420273780823,0.483957439661026,0.4996543228626251,0.9858479499816895,0.0
7,,,,,,,,,,,,,,,,,,-25.533010482788086,1.4999999621068127e-05,-0.04443182796239853,0.6622689366340637,,,,,,,,,,,,,,29.393436431884766,0.03825020790100098,6.0,0.1003476083278656,,,-0.06081525608897209,0.0,0.9455649256706238,0.9835532307624817,0.9548373818397522,0.9973356127738953,0.4803439676761627,0.4979456663131714,0.9511772990226746,0.0
8,,,,,,,,,,,,,,,,,,-25.52924919128418,1.4999999621068127e-05,-0.03210706636309624,0.595838725566864,,,,,,,,,,,,,,30.41970443725586,0.026339054107666016,6.0,0.10035396367311478,212.0,24.71158218383789,-0.062151044607162476,0.0,0.9742681384086609,0.9818854331970215,0.8850048184394836,0.9886345863342285,0.46405935287475586,0.4815523624420166,0.9106160998344421,0.0
9,,,,,,,,,,,,,,,,,,-25.526567459106445,1.4999999621068127e-05,-0.02822587639093399,0.5080100893974304,,,,,,,,,,,,,,27.672311782836914,0.024837017059326172,6.0,0.10036823898553848,226.0,25.957386016845703,-0.06136459484696388,0.0,0.939994752407074,0.8155941367149353,0.7028405070304871,0.9292798042297363,0.37838461995124817,0.36919793486595154,0.9130337834358215,0.0
