iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
0,,,,,,,,,,,-5.6057538986206055,2.60122942563612e-05,-0.05691870301961899,0.004038089420646429,0.06397891044616699,0.02462911605834961,1083.0,0.19929605722427368,,,-0.022695936262607574,-0.058902230113744736,-0.1237047091126442,-0.005630508530884981,-0.06532788276672363,1.997557282447815,-0.008892307057976723
1,,,,,,,,,,,-5.633122444152832,8.77914935699664e-05,-0.03485074266791344,0.018463602289557457,0.054184913635253906,0.012113332748413086,1448.0,0.1992049366235733,29.25,0.47928038239479065,-0.022615959867835045,-0.05256916210055351,-0.1232009157538414,-0.012597995810210705,-0.08406957983970642,1.997745156288147,-0.008504158817231655
2,,,,,,,,,,,-5.650216579437256,3.9018443203531206e-05,-0.053756725043058395,0.012151948176324368,0.055882930755615234,0.012609243392944336,1401.0,0.19910474121570587,29.125,0.4861050844192505,-0.022417264059185982,-0.04539789631962776,-0.11600800603628159,-0.010047771967947483,-0.08392655104398727,1.9979168176651,-0.007439721375703812
3,,,,,,,,,,,-5.6593122482299805,5.852766480529681e-05,-0.04568782076239586,0.005015830975025892,0.054923057556152344,0.012238025665283203,1429.0,0.199062779545784,28.83333396911621,0.48191574215888977,-0.022059818729758263,-0.06700404733419418,-0.13667772710323334,-0.013170622289180756,-0.09675991535186768,1.9978208541870117,-0.008101952262222767
4,,,,,,,,,,,-5.660103797912598,8.77914935699664e-05,-0.03405630216002464,0.0029024360701441765,0.05413103103637695,0.012122154235839844,1448.0,0.19913733005523682,28.625,0.4801746606826782,-0.022686755284667015,-0.052919503301382065,-0.13717103004455566,-0.009239699691534042,-0.09814411401748657,1.997879147529602,-0.005439553409814835
5,,,,,,,,,,,-5.648471832275391,3.9018443203531206e-05,-0.04934166371822357,0.0038799489848315716,0.0537569522857666,0.012319326400756836,1452.0,0.19917967915534973,28.421052932739258,0.4765353798866272,-0.023645132780075073,-0.07085907459259033,-0.1450634002685547,-0.011297516524791718,-0.09682924300432205,1.997597098350525,-0.0066395956091582775
6,,,,,,,,,,,-5.645273208618164,5.852766480529681e-05,-0.039119597524404526,0.0026326009538024664,0.05165719985961914,0.012005805969238281,1507.0,0.1992444396018982,28.549999237060547,0.47886326909065247,-0.023258164525032043,-0.04213830828666687,-0.13638444244861603,-0.006334569305181503,-0.08869082480669022,1.9981142282485962,-0.0074838921427726746
7,-0.002339243656024337,-0.004542278125882149,-0.014848092570900917,-0.0010883858194574714,-0.010686914436519146,0.20478951930999756,-0.000770142360124737,0.0,1.0,0.0,-5.634895324707031,3.9018443203531206e-05,-0.05364619940519333,0.00319480849429965,0.056555986404418945,0.012334823608398438,1393.0,0.19925439357757568,28.91666603088379,0.48430997133255005,-0.02160506509244442,-0.03520696982741356,-0.12116089463233948,-0.008754373528063297,-0.09171277284622192,1.9980697631835938,-0.008273915387690067
8,,,,,,,,,,,-5.637336730957031,5.852766480529681e-05,-0.04130231589078903,0.0032296665012836456,0.05784010887145996,0.012208938598632812,1370.0,0.1992512345314026,28.89285659790039,0.48497122526168823,-0.021700488403439522,-0.041896868497133255,-0.13071565330028534,-0.007309811655431986,-0.08484366536140442,1.9975839853286743,-0.008028451353311539
9,,,,,,,,,,,-5.6293134689331055,8.77914935699664e-05,-0.05030199885368347,0.0017772048013284802,0.05959796905517578,0.019715070724487305,1210.0,0.19938674569129944,28.8125,0.48431360721588135,-0.022711435332894325,-0.04019218310713768,-0.1282314658164978,-0.005291956942528486,-0.09734609723091125,1.9969011545181274,-0.006943251937627792
