iteration,Episode_Reward/action_rate,Episode_Reward/failure,Episode_Reward/lane,Episode_Reward/loaded_slip,Episode_Reward/upright,Episode_Reward/velocity,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/failure,reward/lane,reward/loaded_slip,reward/upright,reward/velocity
33,,,,,,,,,,-72.23912048339844,1.4999999621068127e-05,-0.03637044504284859,0.055657532066106796,6.322948455810547,0.015175104141235352,30.0,0.020047573372721672,334.4375,11.020618438720703,-0.0002294100122526288,0.0,0.7312319874763489,-1.7916454076766968,0.9996442794799805,0.6721446514129639
34,,,,,,,,,,-72.28130340576172,9.999999747378752e-06,-0.03719935193657875,0.02832719311118126,6.4642720222473145,0.01598381996154785,29.0,0.020030690357089043,334.4375,11.020618438720703,-0.00023099548707250506,0.0,0.5471787452697754,-1.1591501235961914,0.9995403289794922,0.6354432702064514
35,,,,,,,,,,-72.27778625488281,1.4999999621068127e-05,-0.03925540670752525,0.041784267872571945,6.260122299194336,0.015542984008789062,30.0,0.02005952224135399,334.4375,11.020618438720703,-0.00022945851378608495,0.0,0.38184165954589844,-1.5963932275772095,0.9995052218437195,0.5149872303009033
36,,,,,,,,,,-72.22618865966797,9.999999747378752e-06,-0.039324499666690826,0.037950124591588974,6.60739803314209,0.015154123306274414,28.0,0.02009592391550541,334.4375,11.020618438720703,-0.00023900804808363318,0.0,0.26879793405532837,-1.0990577936172485,0.9994773864746094,0.5482697486877441
37,,,,,,,,,,-72.17113494873047,9.999999747378752e-06,-0.03942374140024185,0.02584625408053398,6.819689750671387,0.015224695205688477,28.0,0.02013968862593174,334.4375,11.020618438720703,-0.0002269632532261312,0.0,0.18020908534526825,-0.6754224300384521,0.9995102882385254,0.602546751499176
38,,,,,,,,,,-72.12223815917969,1.4999999621068127e-05,-0.0294434055685997,0.02947559393942356,7.286096096038818,0.015096902847290039,26.0,0.02016083337366581,334.4375,11.020618438720703,-0.00023239600704982877,0.0,0.11975664645433426,-0.5571348667144775,0.9994964599609375,0.7507209181785583
39,,,,,,,,,,-72.10049438476562,1.4999999621068127e-05,-0.03033987060189247,0.023602813482284546,7.6075334548950195,0.014962196350097656,25.0,0.02017018385231495,334.4375,11.020618438720703,-0.00022749672643840313,0.0,0.06618860363960266,-0.4467494785785675,0.9996315836906433,0.8566765189170837
40,,,,,,,,,,-72.09664916992188,1.4999999621068127e-05,-0.033698827028274536,0.016202706843614578,7.703831672668457,0.015041112899780273,24.0,0.020160289481282234,334.4375,11.020618438720703,-0.00022682717826683074,0.0,0.025821097195148468,-0.24315710365772247,0.9997008442878723,0.8760769367218018
41,,,,,,,,,,-72.11038208007812,9.999999747378752e-06,-0.030681833624839783,0.024399150162935257,7.804825782775879,0.015378952026367188,24.0,0.020157014951109886,338.29412841796875,11.110934257507324,-0.00023187017359305173,0.0,0.026894904673099518,-0.15837301313877106,0.9997757077217102,0.9104011058807373
42,,,,,,,,,,-72.10029602050781,1.4999999621068127e-05,-0.03956693783402443,0.056125640869140625,8.010271072387695,0.014912128448486328,23.0,0.020176788792014122,341.72222900390625,11.170463562011719,-0.00023679227160755545,0.0,0.22621184587478638,-0.045603323727846146,0.999772846698761,0.9073427319526672
43,,,,,,,,,,-72.08439636230469,1.4999999621068127e-05,-0.02100469172000885,0.048905689269304276,8.37128734588623,0.017308950424194336,22.0,0.020165203139185905,347.54998779296875,11.267589569091797,-0.00023866228002589196,0.0,0.34039008617401123,-0.014938987791538239,0.9997931122779846,0.9819417595863342
44,,,,,,,,,,-72.1279296875,1.4999999621068127e-05,-0.026998134329915047,0.049833908677101135,7.972857475280762,0.015406131744384766,24.0,0.020121464505791664,352.31817626953125,11.377656936645508,-0.0002287966781295836,0.0,0.5640006065368652,-0.007120202761143446,0.9998372197151184,0.8964242935180664
45,,,,,,,,,,-72.17002868652344,2.2500000341096893e-05,-0.035355448722839355,0.05479327216744423,7.6442108154296875,0.015237808227539062,25.0,0.020107224583625793,352.31817626953125,11.377656936645508,-0.00022982759401202202,0.0,0.7482827305793762,-0.1439182609319687,0.9998261332511902,0.8137547373771667
46,,,,,,,,,,-72.18608093261719,9.999999747378752e-06,-0.04519270360469818,0.04800289124250412,7.370038986206055,0.015440225601196289,25.0,0.020110195502638817,354.39129638671875,11.409189224243164,-0.00023923847766127437,0.0,0.7968502640724182,-0.3253892958164215,0.9996633529663086,0.6783519387245178
47,,,,,,,,,,-72.1893310546875,1.4999999621068127e-05,-0.033096276223659515,0.0415557399392128,6.860713005065918,0.015347003936767578,27.0,0.02009793184697628,354.39129638671875,11.409189224243164,-0.00023798784241080284,0.0,0.8565506935119629,-0.6573729515075684,0.9997258186340332,0.5970653891563416
48,,,,,,,,,,-72.22010040283203,1.4999999621068127e-05,-0.038941070437431335,0.06686511635780334,6.601227760314941,0.015410900115966797,29.0,0.02007388323545456,356.2916564941406,11.452004432678223,-0.00023676965793129057,0.0,0.8253746628761292,-0.9002761840820312,0.9995474815368652,0.6443074345588684
49,,,,,,,,,,-72.243408203125,1.4999999621068127e-05,-0.03047214448451996,0.05363466590642929,6.566886901855469,0.015210866928100586,29.0,0.020067621022462845,356.2916564941406,11.452004432678223,-0.00023872176825534552,0.0,0.8112342953681946,-1.2785173654556274,0.9994838833808899,0.667000949382782
50,,,,,,,,,,-72.27378845214844,1.4999999621068127e-05,-0.03759651258587837,0.0727839320898056,6.392426013946533,0.014995336532592773,29.0,0.020029377192258835,356.2916564941406,11.452004432678223,-0.0002332354779355228,0.0,0.6625604629516602,-1.893807291984558,0.9995934367179871,0.6465643048286438
51,,,,,,,,,,-72.33171081542969,1.4999999621068127e-05,-0.03835200518369675,0.05783119425177574,6.527842044830322,0.017529010772705078,29.0,0.020001161843538284,356.2916564941406,11.452004432678223,-0.00023361451167147607,0.0,0.4927051067352295,-1.5737134218215942,0.9996063113212585,0.551550030708313
52,,,,,,,,,,-72.35730743408203,9.999999747378752e-06,-0.045233506709337234,0.052560605108737946,6.310194969177246,0.01689910888671875,30.0,0.019990773871541023,356.2916564941406,11.452004432678223,-0.00023911248717922717,0.0,0.32007768750190735,-0.9921030402183533,0.9995166659355164,0.5579909682273865
53,,,,,,,,,,-72.3907699584961,1.4999999621068127e-05,-0.03303975984454155,0.05079488828778267,6.72066593170166,0.01561594009399414,28.0,0.019944295287132263,356.2916564941406,11.452004432678223,-0.00023354811128228903,0.0,0.2212095707654953,-1.10293447971344,0.9994044303894043,0.5645328164100647
54,,,,,,,,,,-72.47928619384766,1.4999999621068127e-05,-0.04290866479277611,0.038609471172094345,7.00075626373291,0.015054702758789062,27.0,0.019887493923306465,356.2916564941406,11.452004432678223,-0.00022598110081162304,0.0,0.1581529974937439,-0.682209312915802,0.9995183348655701,0.6399335861206055
55,,,,,,,,,,-72.53361511230469,9.999999747378752e-06,-0.03664033114910126,0.030110642313957214,7.4216108322143555,0.015317201614379883,25.0,0.01988109014928341,356.2916564941406,11.452004432678223,-0.00022435311984736472,0.0,0.10367248207330704,-0.4557403028011322,0.9995677471160889,0.7957141995429993
56,,,,,,,,,,-72.52304077148438,1.4999999621068127e-05,-0.02809794992208481,0.015965543687343597,7.654642105102539,0.015269041061401367,25.0,0.019903574138879776,356.2916564941406,11.452004432678223,-0.00023269193479791284,0.0,0.047148868441581726,-0.2958256006240845,0.999642550945282,0.8689215779304504
57,,,,,,,,,,-72.50274658203125,1.4999999621068127e-05,-0.0284552164375782,0.019037915393710136,7.811347961425781,0.015192031860351562,24.0,0.019901327788829803,356.2916564941406,11.452004432678223,-0.00022941851057112217,0.0,0.010523729026317596,-0.2970244586467743,0.9997389912605286,0.9003028869628906
58,,,,,,,,,,-72.54022979736328,2.2500000341096893e-05,-0.034600868821144104,0.050090160220861435,7.787790298461914,0.015172958374023438,24.0,0.019844798371195793,359.6538391113281,11.521780014038086,-0.00023937075457070023,0.0,0.08057934045791626,-0.09179959446191788,0.9997773170471191,0.9019889235496521
59,,,,,,,,,,-72.62596893310547,9.999999747378752e-06,-0.03384005278348923,0.03067854605615139,8.111845970153809,0.017091035842895508,23.0,0.01980443298816681,359.6538391113281,11.521780014038086,-0.00021944839681964368,0.0,0.2512296438217163,-0.04312467575073242,0.9997596144676208,0.9294818043708801
60,,,,,,,,,,-72.67707824707031,1.4999999621068127e-05,-0.023705845698714256,0.0729641318321228,8.107887268066406,0.015364885330200195,23.0,0.019771279767155647,362.53570556640625,11.53071117401123,-0.00022770131181459874,0.0,0.42260289192199707,-0.01469021663069725,0.9998025894165039,0.9808555245399475
61,,,,,,,,,,-72.69886016845703,2.2500000341096893e-05,-0.02369731478393078,0.09433434903621674,7.862160682678223,0.01517796516418457,24.0,0.019779810681939125,365.0333251953125,11.598196029663086,-0.00023592199431732297,0.0,0.6460184454917908,-0.01291754562407732,0.9998528957366943,0.8470497131347656
62,,,,,,,,,,-72.69068145751953,9.999999747378752e-06,-0.03897809609770775,0.04035131633281708,7.573276996612549,0.015355110168457031,25.0,0.019786786288022995,365.0333251953125,11.598196029663086,-0.00021868546900805086,0.0,0.7472830414772034,-0.31244340538978577,0.9997937679290771,0.7762435078620911
