iteration,Episode_Reward/action_rate,Episode_Reward/batting,Episode_Reward/failure,Episode_Reward/upright,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/batting,reward/failure,reward/upright
0,,,,,,,,-1.349058747291565,2.9629629352712072e-05,-0.03308369964361191,5.095290184020996,0.48322033882141113,0.02837395668029785,187.0,0.19920898973941803,14.0,-4.687793731689453,-0.005582120735198259,0.942642867565155,-7.8125,0.9999119639396667
1,,,,,,,,-1.365755319595337,0.0003375000087544322,-0.01435835100710392,5.028875827789307,0.43306398391723633,0.01063990592956543,216.0,0.19887040555477142,15.0,-4.654270172119141,-0.005485080648213625,0.23479042947292328,-10.416666984558105,0.9997095465660095
2,,,,,,,,-1.3698756694793701,4.444444493856281e-05,-0.030481623485684395,3.1497414112091064,0.5021193027496338,0.011308908462524414,186.0,0.19906671345233917,19.44444465637207,-4.549801349639893,-0.00504419906064868,0.6572978496551514,-5.208333492279053,0.999779999256134
3,,,,,,,,-1.3719364404678345,0.0001500000071246177,-0.013428183272480965,0.3390578329563141,0.4330780506134033,0.010734081268310547,216.0,0.19852979481220245,26.5,-3.7450757026672363,-0.005300845950841904,0.8309972286224365,0.0,0.999629020690918
4,,,,,,,,-1.3994665145874023,6.666666740784422e-05,-0.023886073380708694,0.04545065015554428,0.41141819953918457,0.011577844619750977,226.0,0.19781167805194855,26.5,-3.7450757026672363,-0.006225351709872484,0.10104420781135559,0.0,0.9996621608734131
5,,,,,,,,-1.4081730842590332,0.0001500000071246177,-0.014793219976127148,0.03115684539079666,0.41451001167297363,0.010663032531738281,225.0,0.1980540007352829,26.5,-3.7450757026672363,-0.005704596638679504,6.253417086554691e-05,0.0,0.9997532367706299
6,-0.004108679015189409,0.24582256376743317,-0.8333333134651184,0.7098023295402527,0.0,0.3333333432674408,0.6666666865348816,-1.397753119468689,0.0001500000071246177,-0.02846531942486763,1.4794811010360718,0.4464712142944336,0.011523962020874023,209.0,0.19828951358795166,36.769229888916016,-2.8262815475463867,-0.00584592716768384,0.0012026792392134666,-2.6041667461395264,0.9998330473899841
7,-0.0039499239064753056,0.26458534598350525,-0.8333333134651184,0.7148051261901855,0.0,0.6666666865348816,0.6666666865348816,-1.3951935768127441,9.999999747378752e-05,-0.023205619305372238,2.257218837738037,0.44061803817749023,0.011145830154418945,212.0,0.19818837940692902,41.588233947753906,-2.386674642562866,-0.0051759593188762665,0.9635640978813171,-5.208333492279053,0.9998423457145691
8,,,,,,,,-1.4078224897384644,0.0003375000087544322,-0.018840720877051353,0.07302311062812805,0.42163991928100586,0.010740995407104492,222.0,0.19727927446365356,41.588233947753906,-2.386674642562866,-0.005488985683768988,0.2085966318845749,0.0,0.9995241165161133
9,,,,,,,,-1.4489097595214844,0.0001500000071246177,-0.03593198582530022,0.016122013330459595,0.44184112548828125,0.011838197708129883,211.0,0.19633734226226807,41.588233947753906,-2.386674642562866,-0.005678126122802496,0.001149421208538115,0.0,0.9996826648712158
10,,,,,,,,-1.4711503982543945,6.666666740784422e-05,-0.024353154003620148,0.018564730882644653,0.40825605392456055,0.01124715805053711,228.0,0.19593378901481628,41.588233947753906,-2.386674642562866,-0.005462458357214928,2.328032733139206e-16,0.0,0.9997694492340088
11,,,,,,,,-1.4802743196487427,6.666666740784422e-05,-0.032523781061172485,3.111968994140625,0.4487020969390869,0.01172494888305664,208.0,0.19582875072956085,50.181819915771484,-1.8377904891967773,-0.006305218208581209,0.12137392163276672,-5.208333492279053,0.9998660087585449
12,-0.0011563819134607911,0.010273251682519913,-2.5,0.14998789131641388,0.0,1.0,0.0,-1.4820014238357544,6.666666740784422e-05,-0.01735064946115017,0.6504194736480713,0.43236684799194336,0.01056528091430664,216.0,0.19582852721214294,48.65217208862305,-1.9614427089691162,-0.0050358581356704235,0.9709007143974304,-2.6041667461395264,0.999686062335968
13,,,,,,,,-1.4860351085662842,0.00022499999613501132,-0.008993328548967838,0.018964596092700958,0.41167783737182617,0.010740041732788086,227.0,0.19547957181930542,48.65217208862305,-1.9614427089691162,-0.0054720304906368256,0.0014219837030395865,0.0,0.9996121525764465
14,,,,,,,,-1.4949601888656616,6.666666740784422e-05,-0.012620529159903526,0.009705068543553352,0.4115419387817383,0.01106405258178711,227.0,0.19559279084205627,48.65217208862305,-1.9614427089691162,-0.005503953900188208,1.7986260050784075e-11,0.0,0.9997833371162415
15,,,,,,,,-1.4859215021133423,9.999999747378752e-05,-0.02748582325875759,0.01940414495766163,0.43457889556884766,0.011118888854980469,215.0,0.19596172869205475,52.7599983215332,-1.6297274827957153,-0.00550772063434124,0.011588755063712597,0.0,0.9998165965080261
16,,,,,,,,-1.4748204946517944,9.999999747378752e-05,-0.02310475893318653,0.06985952705144882,0.4319791793823242,0.01117396354675293,216.0,0.19616162776947021,56.25925827026367,-1.3010886907577515,-0.0052797370590269566,0.40379729866981506,0.0,0.9997203350067139
17,,,,,,,,-1.469620943069458,6.666666740784422e-05,-0.0340188592672348,0.006696971133351326,0.4114351272583008,0.010696887969970703,227.0,0.1963055431842804,56.25925827026367,-1.3010886907577515,-0.0059059360064566135,0.02368755452334881,0.0,0.9996523857116699
18,,,,,,,,-1.4654375314712524,6.666666740784422e-05,-0.01332839298993349,0.006699379999190569,0.4098680019378662,0.010904788970947266,228.0,0.19638702273368835,56.25925827026367,-1.3010886907577515,-0.005429662298411131,5.952241477480413e-10,0.0,0.9998000264167786
19,,,,,,,,-1.466318130493164,0.00022499999613501132,-0.018103372305631638,0.014918201602995396,0.4329798221588135,0.010657072067260742,216.0,0.19608940184116364,59.27586364746094,-1.0582886934280396,-0.005411356687545776,9.520314051769674e-05,0.0,0.9998433589935303
20,,,,,,,,-1.4833357334136963,6.666666740784422e-05,-0.022100655362010002,0.3463728129863739,0.4726219177246094,0.014290094375610352,197.0,0.19555923342704773,61.90322494506836,-0.8494195938110352,-0.005451750010251999,1.4511680603027344,0.0,0.9996857643127441
21,,,,,,,,-1.4983333349227905,6.666666740784422e-05,-0.02673831582069397,0.004089298192411661,0.4552116394042969,0.01342320442199707,204.0,0.19520455598831177,61.90322494506836,-0.8494195938110352,-0.005255827214568853,0.18355925381183624,0.0,0.9995892643928528
22,,,,,,,,-1.515738606452942,0.0001500000071246177,-0.02586311846971512,1.9221022129058838,0.438230037689209,0.01326298713684082,212.0,0.1944139152765274,62.0,-0.8975206017494202,-0.005030592437833548,0.06770556420087814,-2.6041667461395264,0.9998130798339844
