iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/lane,Episode_Reward/loaded_slip,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/lane,reward/loaded_slip,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,,,,-25.661073684692383,2.60122942563612e-05,0.07424846291542053,0.9728143215179443,,,,,,,,,,,,,,7.052418231964111,0.04067087173461914,27.0,0.09993653744459152,,,-0.06271757930517197,0.0,0.6230749487876892,-0.12842555344104767,0.9633536338806152,0.986158549785614,0.9949677586555481,0.9977380633354187,0.4983271062374115,0.49927449226379395,0.9940568804740906,0.0
1,,,,,,,,,,,,,,,,,,,,-25.63758659362793,1.1561020073713735e-05,-0.043343592435121536,1.134008765220642,,,,,,,,,,,,,,6.896914005279541,0.01817607879638672,27.0,0.10000673681497574,,,-0.06469709426164627,0.0,0.5828400254249573,-0.20332853496074677,0.9556669592857361,0.9765479564666748,0.9862154126167297,0.9963955879211426,0.49274197220802307,0.4972989559173584,0.9905819892883301,0.0
2,,,,,,,,,,,,,,,,,,,,-25.621644973754883,2.60122942563612e-05,-0.04523211717605591,0.6795915365219116,,,,,,,,,,,,,,6.8090057373046875,0.01598811149597168,28.0,0.10006202757358551,66.33333587646484,7.408868789672852,-0.06505215913057327,0.0,0.5690266489982605,-0.5279238224029541,0.8483977317810059,0.8440650105476379,0.8475002646446228,0.9338122010231018,0.420188307762146,0.45767077803611755,0.9442461133003235,0.0
3,,,,,,,,,,,,,,,,,,,,-25.602834701538086,2.60122942563612e-05,-0.047274790704250336,0.4958536624908447,,,,,,,,,,,,,,7.094439506530762,0.01660013198852539,27.0,0.10013501346111298,81.5,9.308614730834961,-0.06365004926919937,-6.333425062621245e-06,0.4559628963470459,-0.23157209157943726,0.868465006351471,0.8104408383369446,0.7883957028388977,0.9003067016601562,0.38381239771842957,0.4204955995082855,0.9468948245048523,0.0
4,,,,,,,,,,,,,,,,,,,,-25.58142852783203,2.60122942563612e-05,-0.03247222304344177,0.9166895151138306,,,,,,,,,,,,,,8.026225090026855,0.019006013870239258,23.0,0.10020940005779266,76.88888549804688,8.816350936889648,-0.05878186598420143,0.0,0.46974483132362366,-0.015381786972284317,0.9886705875396729,0.9926998019218445,0.9906900525093079,0.9978094100952148,0.4939023554325104,0.4980202615261078,0.9959344863891602,0.0
5,,,,,,,,,,,,,,,,,,,,-25.56434440612793,2.60122942563612e-05,-0.039878103882074356,0.8171166777610779,,,,,,,,,,,,,,7.361244201660156,0.016106128692626953,26.0,0.10024480521678925,73.30000305175781,8.434380531311035,-0.058799874037504196,0.0,0.5199171900749207,-0.029053563252091408,0.9787775874137878,0.9562628865242004,0.9390175938606262,0.9777534008026123,0.46247217059135437,0.4726879596710205,0.9791342616081238,0.0
6,,,,,,,,,,,,,,,,,,,,-25.555438995361328,1.7341530110570602e-05,-0.053127750754356384,0.7989680767059326,,,,,,,,,,,,,,6.925868988037109,0.01628279685974121,27.0,0.10028555244207382,75.07691955566406,8.653482437133789,-0.061536382883787155,0.0,0.5975441932678223,-0.15354977548122406,0.9464287757873535,0.9426724910736084,0.9436056017875671,0.9731766581535339,0.46733352541923523,0.47371339797973633,0.9795327186584473,0.0
7,,,,,,,,,,,,,,,,,,,,-25.54180335998535,1.7341530110570602e-05,-0.05134738236665726,0.6630113124847412,,,,,,,,,,,,,,6.49155330657959,0.016403913497924805,29.0,0.10033784806728363,76.92857360839844,8.921674728393555,-0.06825189292430878,-9.210792995872907e-06,0.6681616902351379,-0.40871119499206543,0.8790128827095032,0.8444241881370544,0.8326662182807922,0.9361951947212219,0.4011975824832916,0.43241676688194275,0.9398393630981445,0.0
8,,,,,,,,,,,,,,,,,,,,-25.52826690673828,2.60122942563612e-05,-0.05269072204828262,0.8674014806747437,,,,,,,,,,,,,,6.589783668518066,0.016742229461669922,29.0,0.10036807507276535,81.31578826904297,9.40505599975586,-0.06308969855308533,0.0,0.498278945684433,-0.31605181097984314,0.8378786444664001,0.8176360130310059,0.803292453289032,0.900946319103241,0.3984161615371704,0.43104124069213867,0.9428238868713379,0.0
9,,,,,,,,,,,,,,,,,,,,-25.527345657348633,1.7341530110570602e-05,-0.056152086704969406,0.7408296465873718,,,,,,,,,,,,,,6.686159133911133,0.016934871673583984,28.0,0.10035032778978348,81.31578826904297,9.40505599975586,-0.06497997790575027,0.0,0.5535908341407776,-0.19461661577224731,0.9531428813934326,0.9735158085823059,0.985335111618042,0.994987964630127,0.49167290329933167,0.49531975388526917,0.9872296452522278,0.0
10,,,,,,,,,,,,,,,,,,,,-25.525524139404297,1.7341530110570602e-05,-0.04922151938080788,0.4693984389305115,,,,,,,,,,,,,,6.61893367767334,0.016175031661987305,28.0,0.1003878116607666,81.31578826904297,9.40505599975586,-0.06539557129144669,0.0,0.4939974248409271,-0.4598709046840668,0.886774480342865,0.8764057159423828,0.8617157936096191,0.9532319903373718,0.41770949959754944,0.45429912209510803,0.949988842010498,0.0
11,,,,,,,,,,,,,,,,,,,,-25.513729095458984,2.60122942563612e-05,-0.04741273075342178,0.938987135887146,,,,,,,,,,,,,,6.644214630126953,0.01614093780517578,28.0,0.10042230039834976,79.54166412353516,9.104239463806152,-0.06468573957681656,0.0,0.4884614944458008,-0.3067770302295685,0.8244150280952454,0.7418506741523743,0.7015511393547058,0.8592620491981506,0.34044089913368225,0.3837006986141205,0.9210593700408936,0.0
12,-0.013347696512937546,0.0,0.11467142403125763,-0.07375482469797134,0.1767902970314026,0.16768375039100647,0.1632157266139984,0.1868961900472641,0.0789070725440979,0.08601643145084381,0.193717822432518,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,-25.506107330322266,2.60122942563612e-05,-0.036805883049964905,0.7998579740524292,2.497241497039795,1.8744378089904785,0.5391991138458252,0.8895354270935059,3.072540760040283,1.639566421508789,0.3339335322380066,0.835176944732666,0.43650731444358826,4.57098913192749,1.0,0.5,0.1111111119389534,7.228267669677734,0.020090103149414062,26.0,0.10043690353631973,79.76923370361328,9.069019317626953,-0.0619133897125721,0.0,0.46975183486938477,-0.07152917236089706,0.9492640495300293,0.9380028247833252,0.9336926341056824,0.9672799706459045,0.4622616767883301,0.4684739410877228,0.9806854724884033,0.0
