iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
10,,,,,,,,,,,,,,,,,,-5.508518695831299,2.2500000341096893e-05,-0.04781167581677437,0.014489985071122646,,,,,,,,,,,,,,28.924959182739258,0.026471853256225586,6.0,0.20009490847587585,29.25373077392578,1.864169955253601,-0.27518990635871887,0.0,0.26658421754837036,0.43342387676239014,0.46565255522727966,0.823432981967926,0.1511748880147934,0.4446529448032379,0.7857570052146912,0.0
11,-0.05858961120247841,0.0,0.06521333009004593,0.09680691361427307,0.10350453853607178,0.1769234538078308,0.03663504496216774,0.09524669498205185,0.17080318927764893,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.5127058029174805,2.2500000341096893e-05,-0.03966110572218895,0.015260346233844757,3.6484782695770264,1.296948790550232,0.250068336725235,1.067935824394226,4.5776519775390625,1.318941593170166,0.2552397847175598,0.710949718952179,0.5753291845321655,8.171053886413574,0.0,0.0,0.0,557.427490234375,0.022861957550048828,0.0,0.20009472966194153,29.24657440185547,1.8633067607879639,-0.2625136971473694,0.0,0.31342312693595886,0.46665307879447937,0.5449870228767395,0.8523030281066895,0.19627319276332855,0.4508605897426605,0.8093535900115967,0.0
12,,,,,,,,,,,,,,,,,,-5.512296199798584,2.2500000341096893e-05,-0.04675385355949402,0.016275782138109207,,,,,,,,,,,,,,6.681595802307129,0.01778101921081543,28.0,0.20009490847587585,29.30864143371582,1.8668615818023682,-0.25989148020744324,-4.798821009899257e-06,0.3321869671344757,0.46246394515037537,0.49861934781074524,0.815420925617218,0.19199800491333008,0.43518486618995667,0.8022595047950745,0.0
13,,,,,,,,,,,,,,,,,,-5.515295028686523,3.3749998692655936e-05,-0.04995115473866463,0.010281176306307316,,,,,,,,,,,,,,6.301661014556885,0.016386985778808594,30.0,0.2000495195388794,29.314607620239258,1.8661904335021973,-0.2570815086364746,-1.9541689653124195e-06,0.302530437707901,0.43243882060050964,0.454409122467041,0.7963339686393738,0.16208447515964508,0.4320419728755951,0.7951907515525818,0.0
14,,,,,,,,,,,,,,,,,,-5.520921230316162,2.2500000341096893e-05,-0.059064947068691254,0.01324696559458971,,,,,,,,,,,,,,6.251771926879883,0.016208887100219727,30.0,0.2000281661748886,29.284210205078125,1.8643351793289185,-0.2562375068664551,0.0,0.2657439708709717,0.41414812207221985,0.4442927837371826,0.804685115814209,0.1384608894586563,0.4377402365207672,0.7947360873222351,0.0
15,-0.057140469551086426,0.0,0.06359334290027618,0.09712355583906174,0.10441544651985168,0.18048186600208282,0.03513743355870247,0.0973619669675827,0.17655694484710693,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,-5.522770404815674,3.3749998692655936e-05,-0.05616630241274834,0.01181890070438385,4.705540657043457,1.271996021270752,0.2725772559642792,1.1217999458312988,5.032674789428711,1.405760645866394,0.27056342363357544,0.7147270441055298,0.5734442472457886,8.725845336914062,0.0,0.0,0.0,6.229789733886719,0.016115903854370117,30.0,0.20002856850624084,29.31999969482422,1.8649582862854004,-0.26449188590049744,0.0,0.26132065057754517,0.42912909388542175,0.4724925458431244,0.8221772313117981,0.1490485668182373,0.44316598773002625,0.792517364025116,0.0
16,,,,,,,,,,,,,,,,,,-5.522435188293457,2.2500000341096893e-05,-0.04837854206562042,0.01818237267434597,,,,,,,,,,,,,,6.426327705383301,0.016892194747924805,29.0,0.20003663003444672,29.510000228881836,1.8737984895706177,-0.25965383648872375,-2.4815290089463815e-07,0.2791154682636261,0.43778252601623535,0.47936955094337463,0.8202022910118103,0.15907061100006104,0.4391160309314728,0.799037754535675,0.0
17,-0.05869833752512932,0.0,0.06407418102025986,0.09783564507961273,0.10405172407627106,0.18062229454517365,0.03523627668619156,0.09683804214000702,0.17685700953006744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.5187458992004395,2.2500000341096893e-05,-0.04711541905999184,0.011070333421230316,4.7693190574646,1.2111226320266724,0.273604154586792,1.0973812341690063,5.068736553192139,1.389642357826233,0.27153581380844116,0.7194634079933167,0.5648113489151001,7.983081340789795,0.0,0.0,0.0,6.292908668518066,0.016438007354736328,30.0,0.20008105039596558,29.540000915527344,1.8745790719985962,-0.2724127769470215,0.0,0.3123983144760132,0.4590569734573364,0.5039169192314148,0.8290278315544128,0.1855718344449997,0.44046536087989807,0.7983034253120422,0.0
18,,,,,,,,,,,,,,,,,,-5.512289047241211,2.2500000341096893e-05,-0.04980217665433884,0.009353537112474442,,,,,,,,,,,,,,6.347667694091797,0.016256093978881836,30.0,0.20012682676315308,29.549999237060547,1.8721330165863037,-0.2727348506450653,-4.17807905250811e-06,0.2927035987377167,0.4305294454097748,0.4668748378753662,0.8044278025627136,0.16639403998851776,0.4326009452342987,0.7972323894500732,0.0
19,-0.05632868409156799,-5.928400810262247e-07,0.06024304777383804,0.09106354415416718,0.10135160386562347,0.17470741271972656,0.035238154232501984,0.09414935111999512,0.17062030732631683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.505132675170898,2.2500000341096893e-05,-0.05054624006152153,0.006296394858509302,3.601295232772827,1.3085793256759644,0.2586367428302765,1.1189727783203125,4.730648994445801,1.3958933353424072,0.2672402262687683,0.7047942876815796,0.5671234130859375,9.472518920898438,0.0,0.0,0.0,7.213566780090332,0.01897907257080078,26.0,0.20018573105335236,29.479999542236328,1.8662419319152832,-0.26397356390953064,-3.334725306558539e-06,0.2845897376537323,0.4266531765460968,0.4569338858127594,0.8077141642570496,0.16041357815265656,0.4375894069671631,0.7984625697135925,0.0
