iteration,Episode_Reward/action_rate,Episode_Reward/batting,Episode_Reward/failure,Episode_Reward/upright,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/batting,reward/failure,reward/upright
0,,,,,,,,-1.3489598035812378,2.9629629352712072e-05,-0.033331651240587234,5.111636638641357,0.5212469100952148,0.02822399139404297,174.0,0.19921588897705078,14.0,-4.721781253814697,-0.005582120735198259,0.7929635643959045,-7.8125,0.9999119639396667
1,,,,,,,,-1.3654439449310303,0.0003375000087544322,-0.014556251466274261,5.148218154907227,0.5253438949584961,0.013204097747802734,178.0,0.19888050854206085,15.0,-4.701805591583252,-0.005485849920660257,1.0474031114426907e-05,-10.416666984558105,0.9997096061706543
2,,,,,,,,-1.3693792819976807,4.444444493856281e-05,-0.030485276132822037,3.0662994384765625,0.4559512138366699,0.012549877166748047,204.0,0.1990823745727539,19.44444465637207,-4.613317012786865,-0.005044787656515837,0.44860562682151794,-5.208333492279053,0.9997803568840027
3,,,,,,,,-1.371595859527588,0.0001500000071246177,-0.01268499344587326,0.23206493258476257,0.4508850574493408,0.012271881103515625,207.0,0.19851957261562347,26.5,-3.8207478523254395,-0.005302135366946459,0.5117550492286682,0.0,0.999629557132721
4,,,,,,,,-1.38847017288208,9.999999747378752e-05,-0.035042572766542435,1.2944025993347168,0.43290281295776367,0.013152122497558594,215.0,0.19848714768886566,25.727272033691406,-3.8954007625579834,-0.006206802558153868,4.3522728532252586e-08,-2.6041667461395264,0.9997158646583557
5,,,,,,,,-1.3748509883880615,0.00022499999613501132,-0.017795346677303314,0.041192878037691116,0.4298207759857178,0.01236104965209961,217.0,0.19939248263835907,25.727272033691406,-3.8954007625579834,-0.005741968750953674,8.107496896059274e-09,0.0,0.9997408986091614
6,-0.004137989599257708,0.14355380833148956,-0.8333333134651184,0.7131385803222656,0.0,0.3333333432674408,0.6666666865348816,-1.3467023372650146,9.999999747378752e-05,-0.03436208888888359,1.383755087852478,0.45818018913269043,0.01248478889465332,203.0,0.1998179703950882,35.5,-3.0524344444274902,-0.0059459335170686245,7.123091005922788e-09,-2.6041667461395264,0.9998276233673096
7,-0.003256453201174736,0.24564242362976074,-1.25,0.574847400188446,0.0,1.0,0.5,-1.3402889966964722,6.666666740784422e-05,-0.029700882732868195,2.2136757373809814,0.4557068347930908,0.012627363204956055,204.0,0.19984762370586395,36.882354736328125,-2.8921639919281006,-0.005291435867547989,0.6103408932685852,-5.208333492279053,0.9998526573181152
8,,,,,,,,-1.3448717594146729,0.0001500000071246177,-0.01901972107589245,0.044367335736751556,0.43750691413879395,0.012312173843383789,213.0,0.1995183676481247,40.38888931274414,-2.6210241317749023,-0.005513851996511221,4.9370049964636564e-05,0.0,0.9995548725128174
9,,,,,,,,-1.3533523082733154,6.666666740784422e-05,-0.03011656552553177,0.03945394977927208,0.42344188690185547,0.012564897537231445,220.0,0.19951632618904114,40.38888931274414,-2.6210241317749023,-0.0058509246446192265,6.007648607919691e-06,0.0,0.9997265934944153
10,,,,,,,,-1.352463722229004,9.999999747378752e-05,-0.019085489213466644,0.02741694636642933,0.42518091201782227,0.012038230895996094,219.0,0.19957269728183746,40.38888931274414,-2.6210241317749023,-0.0056364587508141994,1.4445321312450687e-06,0.0,0.9997569918632507
11,,,,,,,,-1.3487707376480103,6.666666740784422e-05,-0.03251766785979271,1.8201009035110474,0.4622328281402588,0.012700319290161133,202.0,0.19972951710224152,49.8636360168457,-1.9841476678848267,-0.006727829575538635,5.17136695946563e-16,-2.6041667461395264,0.9998665452003479
12,,,,,,,,-1.3426356315612793,9.999999747378752e-05,-0.023803574964404106,0.07281477004289627,0.4265408515930176,0.012101888656616211,218.0,0.19996561110019684,49.8636360168457,-1.9841476678848267,-0.00526832789182663,7.306731276912615e-05,0.0,0.9995651841163635
13,,,,,,,,-1.3388508558273315,0.0003375000087544322,-0.004308836068958044,0.022722449153661728,0.42649388313293457,0.012540817260742188,218.0,0.19988882541656494,49.8636360168457,-1.9841476678848267,-0.005751425866037607,1.5752819493286552e-08,0.0,0.9997418522834778
14,,,,,,,,-1.3385937213897705,6.666666740784422e-05,-0.010845696553587914,0.01054100040346384,0.5216579437255859,0.01519322395324707,178.0,0.20017197728157043,49.8636360168457,-1.9841476678848267,-0.005773533135652542,1.4670246422277163e-15,0.0,0.9998099207878113
15,,,,,,,,-1.3270208835601807,9.999999747378752e-05,-0.02523912489414215,0.017809387296438217,0.5513708591461182,0.015865087509155273,169.0,0.20064181089401245,57.57692337036133,-1.3730504512786865,-0.005798205733299255,9.84433028923998e-23,0.0,0.9998698234558105
16,,,,,,,,-1.3125388622283936,0.0001500000071246177,-0.016966458410024643,0.08666259795427322,0.4849982261657715,0.01392674446105957,192.0,0.2009122520685196,57.57692337036133,-1.3730504512786865,-0.0055574276484549046,0.5016574859619141,0.0,0.9995940327644348
17,,,,,,,,-1.3055058717727661,4.444444493856281e-05,-0.04186490923166275,0.005846426822245121,0.43318605422973633,0.013036966323852539,215.0,0.20108352601528168,57.57692337036133,-1.3730504512786865,-0.006222903728485107,3.0309462317745783e-07,0.0,0.9997320175170898
18,,,,,,,,-1.2999870777130127,6.666666740784422e-05,-0.021726222708821297,0.009580830112099648,0.43091297149658203,0.012490034103393555,216.0,0.2012721449136734,57.57692337036133,-1.3730504512786865,-0.0057405331172049046,9.476053703652218e-14,0.0,0.9998331069946289
