iteration,Episode_Reward/action_rate,Episode_Reward/failure,Episode_Reward/lane,Episode_Reward/loaded_slip,Episode_Reward/upright,Episode_Reward/velocity,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/failure,reward/lane,reward/loaded_slip,reward/upright,reward/velocity
0,,,,,,,,,,-72.33120727539062,9.999999747378752e-06,-0.06711490452289581,0.09978807717561722,5.874961853027344,0.0392301082611084,32.0,0.01997564360499382,,,-0.00021404324797913432,0.0,0.9918356537818909,-0.43803274631500244,0.9997889399528503,0.14703187346458435
1,,,,,,,,,,-72.32447814941406,9.999999747378752e-06,-0.0297250859439373,0.07572238147258759,6.3526201248168945,0.015299081802368164,30.0,0.01999497599899769,,,-0.00023187871556729078,0.0,0.8314294815063477,-1.0347771644592285,0.9995593428611755,0.5344259142875671
2,,,,,,,,,,-72.28096771240234,9.999999747378752e-06,-0.036949772387742996,0.047239381819963455,6.554911136627197,0.019283056259155273,29.0,0.020040081813931465,,,-0.00022228936722967774,0.0,0.5789726972579956,-1.389891266822815,0.9996429085731506,0.5554048418998718
3,,,,,,,,,,-72.2198257446289,1.4999999621068127e-05,-0.030844274908304214,0.08144806325435638,6.7764129638671875,0.01815509796142578,28.0,0.020073864609003067,,,-0.00022959000489208847,0.0,0.4840548038482666,-0.6969195008277893,0.9995241165161133,0.6312784552574158
4,,,,,,,,,,-72.20108032226562,9.999999747378752e-06,-0.04374730959534645,0.08375313133001328,7.164883136749268,0.015625,26.0,0.020063253119587898,,,-0.00022688611352350563,0.0,0.4363754093647003,-0.6656748056411743,0.999563455581665,0.6727302074432373
5,,,,,,,,,,-72.22457122802734,9.999999747378752e-06,-0.03672060742974281,0.10808905959129333,7.617908954620361,0.016371965408325195,25.0,0.02004660665988922,,,-0.0002361494116485119,0.0,0.4021984040737152,-0.5362206101417542,0.9996463656425476,0.8080613017082214
6,,,,,,,,,,-72.24778747558594,9.999999747378752e-06,-0.023780712857842445,0.10417450219392776,7.897655963897705,0.015583992004394531,24.0,0.02003045566380024,,,-0.00023298947780858725,0.0,0.3675609529018402,-0.2765374183654785,0.9996967315673828,0.880027711391449
7,,,,,,,,,,-72.26054382324219,9.999999747378752e-06,-0.02505570277571678,0.11215126514434814,8.048918724060059,0.018636703491210938,23.0,0.0200324859470129,,,-0.00022691847698297352,0.0,0.3263659179210663,-0.3532865047454834,0.9997598528862,0.9177796244621277
8,,,,,,,,,,-72.25025939941406,9.999999747378752e-06,-0.03148656710982323,0.09059369564056396,8.338826179504395,0.017598867416381836,22.0,0.020044375211000443,208.5,9.424551010131836,-0.00023202791635412723,0.0,0.32597270607948303,-0.08364153653383255,0.9998099207878113,0.9055379033088684
9,,,,,,,,,,-72.23451232910156,9.999999747378752e-06,-0.042312733829021454,0.13161692023277283,8.279385566711426,0.022607088088989258,23.0,0.020054548978805542,208.5,9.424551010131836,-0.00022371749219018966,0.0,0.39623796939849854,-0.05530508980154991,0.9997984766960144,0.9294895529747009
10,,,,,,,,,,-72.2299575805664,9.999999747378752e-06,-0.03603744879364967,0.1355406641960144,8.240058898925781,0.015395164489746094,23.0,0.02004910260438919,228.0,8.99742603302002,-0.00023703323677182198,0.0,0.5259692072868347,-0.013469460420310497,0.9998347163200378,0.9802129864692688
11,,,,,,,,,,-72.23432159423828,9.999999747378752e-06,-0.03529797121882439,0.13440214097499847,7.781117916107178,0.015364885330200195,24.0,0.020054012537002563,243.3333282470703,8.813074111938477,-0.00023459363728761673,0.0,0.7062708735466003,-0.013308808207511902,0.9998762011528015,0.846416175365448
12,,,,,,,,,,-72.23204803466797,1.4999999621068127e-05,-0.030857477337121964,0.13076156377792358,7.5393476486206055,0.015566825866699219,25.0,0.020045557990670204,243.3333282470703,8.813074111938477,-0.00022444901696871966,0.0,0.7956566214561462,-0.2732797861099243,0.9998192191123962,0.7782166004180908
13,,,,,,,,,,-72.2618408203125,1.4999999621068127e-05,-0.036431532353162766,0.10580004006624222,7.1080169677734375,0.015601158142089844,26.0,0.020024731755256653,254.0,8.84342098236084,-0.00023585173767060041,0.0,0.8552656769752502,-0.30282023549079895,0.9997145533561707,0.673398494720459
14,,,,,,,,,,-72.28312683105469,1.4999999621068127e-05,-0.036349762231111526,0.05881689861416817,6.757505416870117,0.015301942825317383,28.0,0.020022263750433922,254.0,8.84342098236084,-0.00023521533876191825,0.0,0.862938642501831,-0.7558477520942688,0.999696671962738,0.5945250391960144
15,,,,,,,,,,-72.29096984863281,9.999999747378752e-06,-0.04554837942123413,0.04785307124257088,6.539656639099121,0.015321016311645508,29.0,0.020015457645058632,268.875,9.082010269165039,-0.00023312582925427705,0.0,0.8945457339286804,-1.0305567979812622,0.9996376037597656,0.6472788453102112
