iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Reward/motion_world_foot_pos,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel,reward/motion_world_foot_pos
0,,,,,,,,,,,,,,,,,,,-25.604055404663086,2.60122942563612e-05,0.2095254510641098,1.1774930953979492,,,,,,,,,,,,,,9.049066543579102,0.023631811141967773,21.0,0.10014750808477402,23.0,3.1897192001342773,-0.060065481811761856,0.0,0.9931721687316895,0.9987481236457825,0.9970006942749023,0.999826967716217,0.4987392723560333,0.49988818168640137,0.9965893626213074,0.0,0.9667831063270569
1,,,,,,,,,,,,,,,,,,,-25.5841064453125,9.999999747378752e-06,-0.03415568172931671,1.1738896369934082,,,,,,,,,,,,,,7.868108749389648,0.017104148864746094,24.0,0.10016438364982605,13.666666984558105,1.8942995071411133,-0.06220158934593201,0.0,0.9901292324066162,0.998083770275116,0.9882233738899231,0.999007523059845,0.4963819086551666,0.4993114173412323,0.9879972338676453,0.0,0.7564125657081604
2,,,,,,,,,,,,,,,,,,,-25.58147621154785,2.2500000341096893e-05,-0.03234982490539551,1.1896928548812866,,,,,,,,,,,,,,7.816510200500488,0.02696514129638672,24.0,0.10016383975744247,22.75,3.1519641876220703,-0.05772696062922478,0.0,0.988832950592041,0.9970695376396179,0.9878594279289246,0.9987759590148926,0.4964567720890045,0.49877581000328064,0.9889224171638489,0.0,0.6673557162284851
3,,,,,,,,,,,,,,,,,,,-25.57417106628418,1.4999999621068127e-05,-0.036106936633586884,1.0343761444091797,,,,,,,,,,,,,,7.3992390632629395,0.016482830047607422,25.0,0.1002270057797432,36.20000076293945,5.017009258270264,-0.059140827506780624,0.0,0.9822521805763245,0.9883796572685242,0.9805410504341125,0.9963157773017883,0.49321186542510986,0.4907243251800537,0.9839197993278503,0.0,0.6419146060943604
4,,,,,,,,,,,,,,,,,,,-25.556312561035156,2.2500000341096893e-05,-0.037957802414894104,0.8355197906494141,,,,,,,,,,,,,,7.417655944824219,0.025727033615112305,25.0,0.10028361529111862,36.20000076293945,5.017009258270264,-0.060209114104509354,0.0,0.9754228591918945,0.9351386427879333,0.8974305987358093,0.9728510975837708,0.4621761739253998,0.43697282671928406,0.9536607265472412,0.0,0.27679434418678284
5,,,,,,,,,,,,,,,,,,,-25.543434143066406,2.2500000341096893e-05,-0.047902315855026245,0.600406289100647,,,,,,,,,,,,,,7.596200942993164,0.029207944869995117,25.0,0.10030906647443771,65.42857360839844,8.114901542663574,-0.06160770356655121,-4.063369019036145e-08,0.9275078773498535,0.7896111011505127,0.7064632773399353,0.8780853152275085,0.4007781445980072,0.3312004506587982,0.8931038975715637,0.0,0.29534414410591125
6,-0.012295622378587723,0.0,0.1959328055381775,0.18417517840862274,0.1771601438522339,0.19330447912216187,0.09230371564626694,0.0862877145409584,0.19459499418735504,0.0,0.1058836355805397,0.0,0.0,0.3333333432674408,1.0,0.0,0.0,0.0,-25.537532806396484,2.2500000341096893e-05,-0.034769248217344284,0.8591221570968628,1.6483712196350098,1.2185755968093872,0.43075063824653625,0.4182736575603485,1.7863459587097168,0.9938197731971741,0.17514826357364655,0.484054297208786,0.3359679877758026,1.7170909643173218,1.0,0.5,0.09090909361839294,9.255720138549805,0.02020096778869629,20.0,0.10033495724201202,83.7272720336914,10.202101707458496,-0.058576662093400955,-2.26017338178508e-08,0.950558602809906,0.8842294216156006,0.8443614840507507,0.9409493803977966,0.43197211623191833,0.4219728410243988,0.9613340497016907,0.0,0.6043516993522644
7,,,,,,,,,,,,,,,,,,,-25.538190841674805,2.2500000341096893e-05,-0.03670147433876991,0.9856758713722229,,,,,,,,,,,,,,8.566760063171387,0.018601179122924805,22.0,0.10028692334890366,83.7272720336914,10.202101707458496,-0.05935436114668846,-3.945394837501226e-07,0.9888913631439209,0.9929709434509277,0.9786843657493591,0.9971213340759277,0.48913922905921936,0.4935234487056732,0.9848239421844482,0.0,0.8132550716400146
8,,,,,,,,,,,,,,,,,,,-25.5551815032959,1.4999999621068127e-05,-0.03317459672689438,0.8741366267204285,,,,,,,,,,,,,,8.153322219848633,0.022153139114379883,23.0,0.10023553669452667,83.7272720336914,10.202101707458496,-0.06115759536623955,0.0,0.9729092717170715,0.9603512287139893,0.9264267086982727,0.9807723164558411,0.460162878036499,0.4705694615840912,0.9721515774726868,0.0,0.7807817459106445
9,,,,,,,,,,,,,,,,,,,-25.564754486083984,3.3749998692655936e-05,-0.029244134202599525,0.8767584562301636,,,,,,,,,,,,,,7.781994819641113,0.018358945846557617,24.0,0.10022391378879547,95.41666412353516,11.523663520812988,-0.060384850949048996,0.0,0.9596055150032043,0.9512088894844055,0.9247198700904846,0.9729912877082825,0.46561726927757263,0.4712032377719879,0.9650847315788269,0.0,0.661857545375824
10,,,,,,,,,,,,,,,,,,,-25.563457489013672,2.2500000341096893e-05,-0.055918995290994644,0.5963048338890076,,,,,,,,,,,,,,7.461067199707031,0.017040014266967773,25.0,0.10025715082883835,95.92308044433594,11.722500801086426,-0.06185721233487129,0.0,0.9611601829528809,0.9296403527259827,0.8753835558891296,0.9680327773094177,0.4525221288204193,0.4413360059261322,0.9482658505439758,0.0,0.5164281725883484
11,-0.015169814229011536,0.0,0.24668999016284943,0.2407078742980957,0.23167279362678528,0.2488238364458084,0.11815346777439117,0.11708424240350723,0.24581880867481232,0.0,0.16633836925029755,0.0,0.0,0.4000000059604645,0.6000000238418579,0.0,0.0,0.0,-25.54715347290039,1.4999999621068127e-05,-0.04481487721204758,0.9485591053962708,1.5148046016693115,1.0094128847122192,0.32019567489624023,0.3951359987258911,1.5112402439117432,0.8548266291618347,0.14490215480327606,0.41830962896347046,0.30164751410484314,1.3245927095413208,1.0,0.5,0.09090909361839294,7.992519855499268,0.01700615882873535,23.0,0.10033725947141647,106.55555725097656,13.133267402648926,-0.06109063699841499,0.0,0.9456245303153992,0.8867939114570618,0.8562352657318115,0.9460821151733398,0.43623778223991394,0.42899683117866516,0.9667617678642273,0.0,0.6814236640930176
12,,,,,,,,,,,,,,,,,,,-25.527664184570312,2.2500000341096893e-05,-0.030889524146914482,0.7923362255096436,,,,,,,,,,,,,,8.031242370605469,0.015961885452270508,23.0,0.10040338337421417,106.55555725097656,13.133267402648926,-0.06055976450443268,0.0,0.9853026270866394,0.9960041046142578,0.9888165593147278,0.9992213845252991,0.4957907199859619,0.49936923384666443,0.9878309369087219,0.0,0.7972150444984436
13,,,,,,,,,,,,,,,,,,,-25.51070785522461,2.2500000341096893e-05,-0.031107479706406593,0.6435596942901611,,,,,,,,,,,,,,8.555917739868164,0.01884603500366211,22.0,0.10043977200984955,104.63157653808594,12.952903747558594,-0.060381997376680374,0.0,0.9852789044380188,0.9923951029777527,0.970970630645752,0.9967808127403259,0.49041715264320374,0.4951094686985016,0.9764713644981384,0.0,0.6573980450630188
14,,,,,,,,,,,,,,,,,,,-25.509998321533203,3.3749998692655936e-05,-0.03806518018245697,0.5568462610244751,,,,,,,,,,,,,,7.356398105621338,0.020218849182128906,26.0,0.10040353238582611,104.63157653808594,12.952903747558594,-0.06156063452363014,0.0,0.9706482291221619,0.9497163891792297,0.9177488684654236,0.980147659778595,0.46736156940460205,0.4603639841079712,0.9674296975135803,0.0,0.5050395727157593
15,,,,,,,,,,,,,,,,,,,-25.53072738647461,2.2500000341096893e-05,-0.029039058834314346,0.6287519931793213,,,,,,,,,,,,,,7.129786491394043,0.018235206604003906,26.0,0.10030452907085419,109.44999694824219,13.573756217956543,-0.06211051344871521,0.0,0.9612693786621094,0.9071550965309143,0.8598156571388245,0.9551480412483215,0.44916558265686035,0.42099928855895996,0.9472575187683105,0.0,0.4598011076450348
16,,,,,,,,,,,,,,,,,,,-25.55304718017578,2.2500000341096893e-05,-0.04062052443623543,1.1863341331481934,,,,,,,,,,,,,,7.0354461669921875,0.022724151611328125,27.0,0.10026469081640244,115.0,14.142729759216309,-0.061610933393239975,0.0,0.9473586082458496,0.8876436352729797,0.8358723521232605,0.9361466765403748,0.43759575486183167,0.4242137372493744,0.9340857863426208,0.0,0.38329026103019714
