iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
15,,,,,,,,,,,-5.66447114944458,0.0001316872367169708,-0.0470220185816288,0.0006533281411975622,0.053726911544799805,0.011444091796875,1473.0,0.19899627566337585,29.31999969482422,0.49533143639564514,-0.022774197161197662,-0.060286104679107666,-0.16166828572750092,-0.012300495989620686,-0.09753066301345825,1.997679352760315,-0.005130057688802481
16,,,,,,,,,,,-5.68062686920166,3.9018443203531206e-05,-0.049435555934906006,0.0009053790126927197,0.055425167083740234,0.011482000350952148,1434.0,0.19893664121627808,29.39622688293457,0.49660584330558777,-0.021868281066417694,-0.02628643810749054,-0.12269407510757446,-0.0045015099458396435,-0.07693646848201752,1.9980651140213013,-0.006304020527750254
17,,,,,,,,,,,-5.693811893463135,8.77914935699664e-05,-0.04472756013274193,0.00079141347669065,0.05747199058532715,0.01229095458984375,1376.0,0.19875752925872803,29.535715103149414,0.49931734800338745,-0.023859724402427673,-0.028627192601561546,-0.11944303661584854,-0.007674947381019592,-0.08884739875793457,1.9982314109802246,-0.00611877953633666
18,,,,,,,,,,,-5.714340686798096,5.852766480529681e-05,-0.051346488296985626,0.0005187104688957334,0.05734825134277344,0.011784791946411133,1388.0,0.1987486183643341,29.66666603088379,0.50203937292099,-0.024193570017814636,-0.03570471331477165,-0.13167110085487366,-0.0064521185122430325,-0.09712132066488266,1.9979327917099,-0.005516987759619951
19,,,,,,,,,,,-5.710895538330078,3.9018443203531206e-05,-0.04675082489848137,0.0008704836945980787,0.05414319038391113,0.011710882186889648,1457.0,0.19875624775886536,29.90322494506836,0.5059374570846558,-0.021922314539551735,-0.03593183681368828,-0.1509895771741867,-0.01144737470895052,-0.1144544705748558,1.9975858926773071,-0.004392100963741541
20,-0.002662812825292349,-0.0032492445316165686,-0.015038727782666683,-0.0007156711653806269,-0.011626943945884705,0.22976097464561462,-0.0006715189665555954,0.0,1.0,0.0,-5.707306385040283,3.9018443203531206e-05,-0.04095154628157616,0.0006073210970498621,0.0540928840637207,0.011670112609863281,1459.0,0.19884254038333893,30.046875,0.508482813835144,-0.022671697661280632,-0.029482679441571236,-0.12174669653177261,-0.005906408187001944,-0.09439157694578171,1.9983257055282593,-0.005957402288913727
21,,,,,,,,,,,-5.692062854766846,3.9018443203531206e-05,-0.04698878899216652,0.0019547378178685904,0.05582380294799805,0.01147007942199707,1426.0,0.19893072545528412,30.102941513061523,0.5097331404685974,-0.022613465785980225,-0.023717282339930534,-0.11889930814504623,-0.004916538018733263,-0.0832756832242012,1.9985861778259277,-0.008369316346943378
22,,,,,,,,,,,-5.68237829208374,3.9018443203531206e-05,-0.04199167713522911,0.0009184967493638396,0.05478310585021973,0.011496782302856445,1448.0,0.19898660480976105,30.126760482788086,0.5102775692939758,-0.023975908756256104,-0.021536709740757942,-0.13166296482086182,-0.005230080336332321,-0.10068575292825699,1.9982348680496216,-0.006310070399194956
23,-0.002616245998069644,-0.0020448933355510235,-0.014676300808787346,-0.0005077446694485843,-0.010110938921570778,0.21316932141780853,-0.000685189850628376,0.0,1.0,0.0,-5.674811840057373,5.852766480529681e-05,-0.0375492125749588,0.0007562572718597949,0.0542750358581543,0.011379003524780273,1462.0,0.19902582466602325,30.226667404174805,0.5122672319412231,-0.024027034640312195,-0.02174481749534607,-0.15118248760700226,-0.005580747965723276,-0.10448837280273438,1.9984050989151,-0.00578102795407176
24,,,,,,,,,,,-5.6736555099487305,2.60122942563612e-05,-0.04643208533525467,0.0005037593655288219,0.0535123348236084,0.011592864990234375,1474.0,0.19900280237197876,30.259740829467773,0.5128731727600098,-0.024711092934012413,-0.02750224433839321,-0.15323510766029358,-0.005468148738145828,-0.09952487796545029,1.9980288743972778,-0.006086477544158697
