iteration,Episode_Reward/action_rate,Episode_Reward/failure,Episode_Reward/lane,Episode_Reward/loaded_slip,Episode_Reward/upright,Episode_Reward/velocity,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/failure,reward/lane,reward/loaded_slip,reward/upright,reward/velocity
0,,,,,,,,,,-72.32379913330078,9.999999747378752e-06,-0.06671688705682755,0.12935271859169006,5.991876125335693,0.016468048095703125,31.0,0.019985323771834373,,,-0.00021404324797913432,0.0,0.9925451278686523,-0.08903858065605164,0.9997413754463196,0.1480124145746231
1,,,,,,,,,,-72.30055236816406,9.999999747378752e-06,-0.032801926136016846,0.12580017745494843,6.466824531555176,0.014676809310913086,29.0,0.02001700922846794,,,-0.000232076330576092,0.0,0.8566896915435791,-0.2487202286720276,0.9995126724243164,0.5357558131217957
2,,,,,,,,,,-72.25053405761719,9.999999747378752e-06,-0.03541908413171768,0.10547755658626556,6.385121822357178,0.015918970108032227,29.0,0.0200597383081913,,,-0.00022288567561190575,0.0,0.656772792339325,-0.3010477125644684,0.9996475577354431,0.5756396651268005
3,,,,,,,,,,-72.2021713256836,9.999999747378752e-06,-0.03309398517012596,0.14329947531223297,6.693429946899414,0.014901876449584961,28.0,0.020076453685760498,,,-0.00022992321464698762,0.0,0.6012887358665466,-0.11698717623949051,0.9994503855705261,0.6388598084449768
4,,,,,,,,,,-72.19438934326172,9.999999747378752e-06,-0.040515996515750885,0.13221235573291779,7.1126017570495605,0.014833211898803711,26.0,0.0200740247964859,,,-0.00022693525534123182,0.0,0.5931038856506348,-0.1801140457391739,0.9994896054267883,0.6718167662620544
5,,,,,,,,,,-72.19843292236328,9.999999747378752e-06,-0.03462450951337814,0.13335053622722626,7.443988800048828,0.014915704727172852,25.0,0.0200701504945755,,,-0.0002364978863624856,0.0,0.5707467198371887,-0.11415611952543259,0.9996227622032166,0.7988793253898621
6,,,,,,,,,,-72.20854949951172,9.999999747378752e-06,-0.026330774649977684,0.1461508870124817,7.638763904571533,0.014605998992919922,25.0,0.02006199210882187,,,-0.0002335194149054587,0.0,0.5398586392402649,-0.04571382701396942,0.9996709227561951,0.8753606677055359
7,,,,,,,,,,-72.20783996582031,9.999999747378752e-06,-0.02004728652536869,0.14759889245033264,7.806863784790039,0.016321182250976562,24.0,0.020072901621460915,,,-0.00022792373783886433,0.0,0.49003300070762634,-0.06352012604475021,0.9997155070304871,0.9091793894767761
8,,,,,,,,,,-72.19135284423828,9.999999747378752e-06,-0.03145584836602211,0.12486662715673447,7.771989822387695,0.014726877212524414,24.0,0.020081600174307823,208.5,10.030465126037598,-0.0002332441945327446,0.0,0.5003893375396729,-0.025865131989121437,0.9997819066047668,0.9037346243858337
9,,,,,,,,,,-72.1852035522461,9.999999747378752e-06,-0.04058784991502762,0.1624602973461151,8.042221069335938,0.014769792556762695,23.0,0.02008390985429287,208.5,10.030465126037598,-0.00022438325686380267,0.0,0.5726936459541321,-0.008899656124413013,0.9997797608375549,0.9300814270973206
