iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/lane,Episode_Reward/loaded_slip,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/lane,reward/loaded_slip,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
0,,,,,,,,,,,,,,,,,,,,-25.68449592590332,2.60122942563612e-05,0.12124834209680557,0.9373064041137695,,,,,,,,,,,,,,8.443116188049316,0.03074193000793457,22.0,0.09981166571378708,,,-0.06198826804757118,0.0,0.3879634439945221,-0.13926725089550018,0.9707947373390198,0.9879166483879089,0.9956077933311462,0.9981891512870789,0.49841439723968506,0.49932751059532166,0.9951303601264954,0.0
1,,,,,,,,,,,,,,,,,,,,-25.681394577026367,1.1561020073713735e-05,-0.04683090001344681,0.9615877270698547,,,,,,,,,,,,,,8.438813209533691,0.025252103805541992,22.0,0.09982806444168091,35.0,4.157955169677734,-0.06278234720230103,0.0,0.412129670381546,-0.2263149470090866,0.9544081687927246,0.9682610034942627,0.9764835238456726,0.9940926432609558,0.4871038496494293,0.49668100476264954,0.9888845086097717,0.0
2,,,,,,,,,,,,,,,,,,,,-25.67431640625,3.9018443203531206e-05,-0.040881942957639694,0.7781312465667725,,,,,,,,,,,,,,7.160523891448975,0.017040014266967773,26.0,0.0998762845993042,55.66666793823242,6.110467433929443,-0.061110857874155045,-3.421733345021494e-05,0.4762631356716156,-0.2067989856004715,0.8854323029518127,0.8626325726509094,0.8508779406547546,0.9355408549308777,0.41810593008995056,0.4657838046550751,0.951161801815033,0.0
3,,,,,,,,,,,,,,,,,,,,-25.64867401123047,2.60122942563612e-05,-0.05199403688311577,0.7795487642288208,,,,,,,,,,,,,,7.471255779266357,0.016483068466186523,25.0,0.09998880326747894,68.0,7.4219441413879395,-0.06272578984498978,0.0,0.48437318205833435,-0.13581615686416626,0.93588787317276,0.9143293499946594,0.8957319259643555,0.9539968967437744,0.4430069923400879,0.4649583399295807,0.9794281125068665,0.0
4,,,,,,,,,,,,,,,,,,,,-25.627050399780273,3.9018443203531206e-05,-0.03614912927150726,0.785373866558075,,,,,,,,,,,,,,7.421384811401367,0.01714801788330078,25.0,0.10003285109996796,79.14286041259766,8.90451717376709,-0.05939723551273346,0.0,0.3808854818344116,-0.12873131036758423,0.9623681902885437,0.9551229476928711,0.9503574371337891,0.9777045845985413,0.4721083343029022,0.47658124566078186,0.9845311045646667,0.0
5,-0.01248619332909584,0.0,0.06016509234905243,-0.019989527761936188,0.19645583629608154,0.19343215227127075,0.19114191830158234,0.2006492167711258,0.09470987319946289,0.09786742180585861,0.20200468599796295,0.0,0.0,0.0,0.6666666865348816,0.3333333432674408,0.0,0.0,0.0,-25.62000846862793,1.7341530110570602e-05,-0.05323363095521927,0.646221935749054,1.7399460077285767,0.7970321774482727,0.21239475905895233,0.4035899341106415,1.6070733070373535,0.7130586504936218,0.14800144731998444,0.36881494522094727,0.33652910590171814,2.1488425731658936,1.0,0.5,0.1111111119389534,7.136140823364258,0.01584172248840332,26.0,0.10002552717924118,80.19999694824219,9.12264347076416,-0.06072330102324486,0.0,0.31810200214385986,-0.22683794796466827,0.9217881560325623,0.9178467392921448,0.9115630984306335,0.9657856822013855,0.45116862654685974,0.4770607650279999,0.9741926193237305,0.0
6,-0.011744287796318531,0.0,0.09453674405813217,-0.03115142323076725,0.18580476939678192,0.18458692729473114,0.1830572634935379,0.18996118009090424,0.09098351001739502,0.09413307905197144,0.19191479682922363,0.0,0.0,0.3333333432674408,0.6666666865348816,0.3333333432674408,0.0,0.0,0.0,-25.627607345581055,2.60122942563612e-05,-0.04807906970381737,0.6354265213012695,1.227023959159851,0.7015430331230164,0.14616070687770844,0.29753339290618896,1.3415390253067017,0.6225436329841614,0.11729646474123001,0.2882439196109772,0.19641625881195068,1.6968528032302856,1.0,0.5,0.1111111119389534,7.217185020446777,0.015851974487304688,26.0,0.09998165816068649,79.69230651855469,9.181262969970703,-0.059057045727968216,0.0,0.3918660581111908,-0.2478974610567093,0.9215601086616516,0.9056662917137146,0.899024486541748,0.9605634212493896,0.44333162903785706,0.4722754955291748,0.973529577255249,0.0
7,,,,,,,,,,,,,,,,,,,,-25.64017105102539,1.7341530110570602e-05,-0.05471089109778404,0.7860331535339355,,,,,,,,,,,,,,7.182806015014648,0.016276836395263672,26.0,0.09994800388813019,80.13333129882812,9.176779747009277,-0.06672517210245132,0.0,0.48964691162109375,-0.24187080562114716,0.8926907181739807,0.8913591504096985,0.884847104549408,0.9423339366912842,0.4403862953186035,0.46286240220069885,0.968977689743042,0.0
8,,,,,,,,,,,,,,,,,,,,-25.64527702331543,2.60122942563612e-05,-0.04463876411318779,0.7331932187080383,,,,,,,,,,,,,,7.2685956954956055,0.0219419002532959,26.0,0.09994453191757202,78.4375,8.935005187988281,-0.058139294385910034,0.0,0.47400808334350586,-0.14404040575027466,0.9063820838928223,0.8792049288749695,0.8581686019897461,0.9442705512046814,0.4173358976840973,0.4631127417087555,0.9611241817474365,0.0
9,,,,,,,,,,,,,,,,,,,,-25.648271560668945,1.7341530110570602e-05,-0.04068706929683685,0.6852570176124573,,,,,,,,,,,,,,6.872298240661621,0.016367197036743164,27.0,0.09993572533130646,81.19999694824219,9.24720573425293,-0.06117117404937744,0.0,0.5023097991943359,-0.22328107059001923,0.9052085876464844,0.8657054901123047,0.8364939093589783,0.9307686686515808,0.40681180357933044,0.4315365254878998,0.9495165348052979,0.0
