iteration,Episode_Reward/action_rate,Episode_Reward/failure,Episode_Reward/lane,Episode_Reward/loaded_slip,Episode_Reward/upright,Episode_Reward/velocity,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/failure,reward/lane,reward/loaded_slip,reward/upright,reward/velocity
0,,,,,,,,,,-72.32402038574219,9.999999747378752e-06,-0.06756207346916199,0.12728632986545563,6.089778900146484,0.03252696990966797,31.0,0.019983477890491486,,,-0.00021404324797913432,0.0,0.9918356537818909,-0.09921696782112122,0.9997889399528503,0.14703187346458435
1,,,,,,,,,,-72.30404663085938,9.999999747378752e-06,-0.03347381576895714,0.1318993717432022,6.504946708679199,0.014875173568725586,29.0,0.02001631073653698,,,-0.0002320251805940643,0.0,0.8315305709838867,-0.1834009885787964,0.9995589256286621,0.5343419909477234
2,,,,,,,,,,-72.24195861816406,1.4999999621068127e-05,-0.036239221692085266,0.09441499412059784,6.363271713256836,0.025576114654541016,30.0,0.020077141001820564,,,-0.00022286029707174748,0.0,0.5796673893928528,-0.3049083650112152,0.9996444582939148,0.5560640096664429
3,,,,,,,,,,-72.16934967041016,9.999999747378752e-06,-0.03858698904514313,0.1177787259221077,6.772599220275879,0.015703678131103516,28.0,0.020101560279726982,,,-0.00023038954532239586,0.0,0.4855869710445404,-0.14471127092838287,0.9995240569114685,0.6313908696174622
4,,,,,,,,,,-72.16016387939453,9.999999747378752e-06,-0.04119231551885605,0.11351466923952103,7.137775897979736,0.014875173568725586,26.0,0.02009689435362816,,,-0.00022748902847524732,0.0,0.4381445646286011,-0.1579260230064392,0.9995682835578918,0.6730625629425049
5,,,,,,,,,,-72.17037963867188,9.999999747378752e-06,-0.03359934315085411,0.11496341228485107,7.527195930480957,0.014976978302001953,25.0,0.020085444673895836,,,-0.00023701526515651494,0.0,0.4050338566303253,-0.09948351234197617,0.9996502995491028,0.8077104687690735
6,,,,,,,,,,-72.19190216064453,9.999999747378752e-06,-0.02707420103251934,0.1247192770242691,7.753932952880859,0.014541864395141602,24.0,0.020071208477020264,,,-0.00023393116134684533,0.0,0.37476930022239685,-0.05516419932246208,0.9997023940086365,0.880544126033783
7,,,,,,,,,,-72.19628143310547,9.999999747378752e-06,-0.018876491114497185,0.12119392305612564,7.857080936431885,0.014729022979736328,24.0,0.020080596208572388,,,-0.00022816337877884507,0.0,0.3372844159603119,-0.06784281879663467,0.9997671246528625,0.9185140132904053
8,,,,,,,,,,-72.1820068359375,9.999999747378752e-06,-0.030985262244939804,0.09798665344715118,7.858798027038574,0.014704227447509766,24.0,0.02008834108710289,208.5,9.994120597839355,-0.00023339955077972263,0.0,0.3362416923046112,-0.01641964726150036,0.9998135566711426,0.9044085144996643
9,,,,,,,,,,-72.17498016357422,9.999999747378752e-06,-0.04138987511396408,0.1387353390455246,8.128949165344238,0.014659881591796875,23.0,0.020091697573661804,208.5,9.994120597839355,-0.0002245856012450531,0.0,0.40486621856689453,-0.01013417262583971,0.9998023509979248,0.9289455413818359
10,,,,,,,,,,-72.17658233642578,9.999999747378752e-06,-0.036173608154058456,0.139329731464386,8.339797973632812,0.01711273193359375,22.0,0.02008548192679882,228.0,10.012880325317383,-0.0002381009835517034,0.0,0.5328535437583923,-0.0032770447432994843,0.9998374581336975,0.9801838994026184
11,,,,,,,,,,-72.1809310913086,9.999999747378752e-06,-0.03424572944641113,0.13994336128234863,7.903797149658203,0.015069961547851562,24.0,0.020091578364372253,243.3333282470703,10.21604061126709,-0.00023543440329376608,0.0,0.7125336527824402,-0.003265331732109189,0.9998782277107239,0.8464961647987366
12,,,,,,,,,,-72.17964172363281,1.4999999621068127e-05,-0.025396481156349182,0.14842283725738525,7.625102996826172,0.014953136444091797,25.0,0.020082347095012665,243.3333282470703,10.21604061126709,-0.00022519317280966789,0.0,0.8013520240783691,-0.06159060075879097,0.9998199939727783,0.7783100008964539
