iteration,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/bowling,reward/failure,reward/upright
0,-1.5322273969650269,6.666666740784422e-05,-0.04060165584087372,0.0358317531645298,1.0706191062927246,0.015299081802368164,88.0,0.19959639012813568,,,-0.006081966683268547,0.33651211857795715,0.0,0.9996752142906189
1,-1.5451246500015259,0.0003375000087544322,-0.02215610444545746,0.045665401965379715,0.9392399787902832,0.01117086410522461,101.0,0.19912089407444,,,-0.006855557207018137,0.4771566092967987,0.0,0.9997501373291016
2,-1.5829020738601685,9.999999747378752e-05,-0.05314735323190689,0.025611918419599533,0.961496114730835,0.010831117630004883,98.0,0.1980845183134079,,,-0.006876163650304079,0.478069931268692,0.0,0.9997155070304871
3,-1.6199208498001099,0.0001500000071246177,-0.02938869036734104,0.023608338087797165,0.9845168590545654,0.01434326171875,96.0,0.19705240428447723,,,-0.0064606270752847195,0.47633591294288635,0.0,0.9997339248657227
4,-1.6625038385391235,0.0003375000087544322,-0.028684964403510094,0.028924522921442986,1.0938301086425781,0.010704994201660156,86.0,0.19610244035720825,,,-0.006172757595777512,0.47899600863456726,0.0,0.9996578097343445
5,-1.699609398841858,6.666666740784422e-05,-0.035035476088523865,0.013410748913884163,0.9542508125305176,0.011615991592407227,99.0,0.19550137221813202,,,-0.006592324003577232,0.48121097683906555,0.0,0.9997562766075134
6,-1.7134075164794922,4.444444493856281e-05,-0.025614311918616295,0.018767099827528,0.965742826461792,0.01080012321472168,98.0,0.19537828862667084,,,-0.006966617424041033,0.4815741777420044,0.0,0.9996709823608398
7,-1.7187402248382568,0.0003375000087544322,-0.013012195006012917,0.028451532125473022,0.9762089252471924,0.010854959487915039,97.0,0.1951131373643875,,,-0.005911896005272865,0.4874676465988159,0.0,0.9997257590293884
8,-1.741231918334961,9.999999747378752e-05,-0.0485263429582119,0.04946953430771828,0.9437382221221924,0.010791778564453125,100.0,0.1944500356912613,200.0,5.825284004211426,-0.0057736835442483425,0.341583251953125,0.0,0.999685525894165
9,-1.7646065950393677,0.0001500000071246177,-0.03470161184668541,0.044653214514255524,0.9847559928894043,0.010700225830078125,96.0,0.19393645226955414,200.0,5.825284004211426,-0.005720242857933044,0.4741404950618744,0.0,0.9995779991149902
10,-1.8050709962844849,0.0001500000071246177,-0.03451288118958473,0.01227643247693777,0.9585161209106445,0.011054754257202148,99.0,0.1923249512910843,200.0,5.825284004211426,-0.005374925211071968,0.4799661338329315,0.0,0.9996085166931152
11,-1.8656258583068848,9.999999747378752e-05,-0.044740669429302216,0.008337868377566338,0.9535179138183594,0.01087188720703125,99.0,0.19125692546367645,200.0,5.825284004211426,-0.00615960406139493,0.48042091727256775,0.0,0.9996960163116455
12,-1.8921778202056885,9.999999747378752e-05,-0.036166392266750336,0.007102199364453554,0.9823179244995117,0.01194310188293457,96.0,0.1910638064146042,200.0,5.825284004211426,-0.005213223397731781,0.48541131615638733,0.0,0.9996703267097473
13,-1.8999607563018799,9.999999747378752e-05,-0.031461670994758606,0.009003991261124611,0.981734037399292,0.011295080184936523,96.0,0.1908646672964096,200.0,5.825284004211426,-0.005657022353261709,0.48391398787498474,0.0,0.9996764063835144
14,-1.9074687957763672,0.00022499999613501132,-0.021214071661233902,0.008057847619056702,0.9586701393127441,0.010714054107666016,99.0,0.19082294404506683,200.0,5.825284004211426,-0.0057324133813381195,0.4887683093547821,0.0,0.9996203780174255
15,-1.9048421382904053,4.444444493856281e-05,-0.028403105214238167,0.006280352361500263,0.9566357135772705,0.010565996170043945,99.0,0.1909065693616867,200.0,5.825284004211426,-0.005169157404452562,0.4837527573108673,0.0,0.9994818568229675
16,-1.9004822969436646,9.999999747378752e-05,-0.021031968295574188,0.010399803519248962,1.0767109394073486,0.012382030487060547,88.0,0.19105805456638336,200.0,5.832094192504883,-0.006051798816770315,0.3867441415786743,0.0,0.9994010329246521
17,-1.895086646080017,6.666666740784422e-05,-0.03511612489819527,0.02020922116935253,0.974362850189209,0.010902166366577148,97.0,0.19112913310527802,200.0,5.832094192504883,-0.006661675870418549,0.4276270568370819,0.0,0.9994530081748962
18,-1.9015703201293945,9.999999747378752e-05,-0.022633688524365425,0.006740320939570665,0.9838080406188965,0.015129804611206055,96.0,0.19068239629268646,200.0,5.832094192504883,-0.005714749451726675,0.46575698256492615,0.0,0.9991846084594727
