iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Reward/motion_world_foot_pos,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel,reward/motion_world_foot_pos
10,,,,,,,,,,,,,,,,,,,-25.545669555664062,2.2500000341096893e-05,-0.04103735089302063,0.8543016314506531,,,,,,,,,,,,,,8.692411422729492,0.01827096939086914,22.0,0.10031934827566147,121.0,15.295214653015137,-0.062187518924474716,0.0,0.9614704251289368,0.9433725476264954,0.914936363697052,0.9682503342628479,0.4579353630542755,0.4637766182422638,0.9717695116996765,0.0,0.5371822714805603
11,,,,,,,,,,,,,,,,,,,-25.53827667236328,1.4999999621068127e-05,-0.035523656755685806,0.7394425868988037,,,,,,,,,,,,,,8.964103698730469,0.018259048461914062,21.0,0.10031678527593613,121.0,15.295214653015137,-0.05995442345738411,0.0,0.9835947155952454,0.9899030327796936,0.9821084141731262,0.9975777268409729,0.49087977409362793,0.49713197350502014,0.9875653386116028,0.0,0.5265799164772034
12,,,,,,,,,,,,,,,,,,,-25.539207458496094,3.3749998692655936e-05,-0.03073425032198429,0.6635758876800537,,,,,,,,,,,,,,7.844706058502197,0.027655839920043945,24.0,0.10033633559942245,121.0,15.295214653015137,-0.060005638748407364,0.0,0.9754282832145691,0.9614011645317078,0.9487485289573669,0.9886041283607483,0.47892889380455017,0.4704192578792572,0.9724097847938538,0.0,0.48079243302345276
13,,,,,,,,,,,,,,,,,,,-25.52750015258789,2.2500000341096893e-05,-0.04149996489286423,0.4810093343257904,,,,,,,,,,,,,,8.168586730957031,0.01837897300720215,23.0,0.10037803649902344,136.76922607421875,17.306623458862305,-0.0599958561360836,0.0,0.9552524089813232,0.8790690302848816,0.8328890800476074,0.9340021014213562,0.44902315735816956,0.39722537994384766,0.9359391331672668,0.0,0.5285047888755798
14,-0.013253395445644855,0.0,0.20689672231674194,0.19731102883815765,0.19235771894454956,0.2053140103816986,0.09952956438064575,0.09391610324382782,0.20613130927085876,0.0,0.11017881333827972,0.0,0.0,0.5,0.5,0.0,0.0,0.0,-25.525131225585938,5.062499985797331e-05,-0.029829401522874832,0.8153361082077026,1.340653657913208,0.9350717067718506,0.33799293637275696,0.3033083379268646,1.3698605298995972,0.7657781839370728,0.13538320362567902,0.3691566288471222,0.2679213881492615,1.4937387704849243,1.0,0.5,0.09090909361839294,8.590354919433594,0.022922039031982422,22.0,0.10034868121147156,131.0,16.442243576049805,-0.06167331337928772,0.0,0.9750669598579407,0.9708371162414551,0.9569995403289795,0.9826822280883789,0.4805698096752167,0.48224377632141113,0.9815341830253601,0.0,0.8027052283287048
15,,,,,,,,,,,,,,,,,,,-25.53739356994629,1.4999999621068127e-05,-0.03518268093466759,0.5783042311668396,,,,,,,,,,,,,,12.018960952758789,0.018101930618286133,15.0,0.10030590742826462,134.11111450195312,16.934890747070312,-0.06155015155673027,0.0,0.9871876239776611,0.9945459365844727,0.981249988079071,0.997678816318512,0.4927542209625244,0.49359703063964844,0.987177848815918,0.0,0.7947834134101868
16,,,,,,,,,,,,,,,,,,,-25.5488224029541,2.2500000341096893e-05,-0.032777946442365646,0.5554920434951782,,,,,,,,,,,,,,8.365878105163574,0.016296863555908203,22.0,0.100270576775074,138.73684692382812,17.6046199798584,-0.05970876291394234,0.0,0.9884679317474365,0.9896690845489502,0.9680104851722717,0.9941053986549377,0.487750381231308,0.4841022491455078,0.9840247631072998,0.0,0.7063339352607727
17,,,,,,,,,,,,,,,,,,,-25.55425453186035,2.2500000341096893e-05,-0.03344077616930008,1.1586852073669434,,,,,,,,,,,,,,9.143804550170898,0.02324080467224121,20.0,0.10027427226305008,140.35000610351562,17.70073127746582,-0.06036169454455376,-6.487077541805775e-09,0.9687398076057434,0.9445320963859558,0.9242491722106934,0.9733031392097473,0.4661679267883301,0.46129897236824036,0.9747554659843445,0.0,0.7861810326576233
18,,,,,,,,,,,,,,,,,,,-25.54714584350586,1.4999999621068127e-05,-0.03590913489460945,0.6186148524284363,,,,,,,,,,,,,,8.55935001373291,0.017441987991333008,22.0,0.10031590610742569,137.2857208251953,17.35885238647461,-0.05934150889515877,0.0,0.9766530990600586,0.9915258288383484,0.9881156086921692,0.9991932511329651,0.49195483326911926,0.4995177090167999,0.9904420971870422,0.0,0.9272549152374268
19,,,,,,,,,,,,,,,,,,,-25.534574508666992,1.4999999621068127e-05,-0.042451389133930206,0.5129611492156982,,,,,,,,,,,,,,8.424833297729492,0.01605820655822754,22.0,0.10036177188158035,137.5454559326172,17.46508026123047,-0.05834376811981201,0.0,0.9742975234985352,0.9903789162635803,0.9886423945426941,0.9990977644920349,0.49160853028297424,0.499380499124527,0.9918568134307861,0.0,0.9316697120666504
