iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
10,,,,,,,,,,-5.784901142120361,8.77914935699664e-05,-0.047947805374860764,0.041545405983924866,0.046002864837646484,0.01191401481628418,1657.0,0.1982428878545761,128.0,-3.0727033615112305,-0.023803437128663063,-0.1520538181066513,-1.4660773277282715,-0.3117314279079437,-1.1152849197387695,1.98141348361969,-0.011025045067071915
11,,,,,,,,,,-5.791346549987793,5.852766480529681e-05,-0.049827706068754196,0.2890663146972656,0.03818488121032715,0.012131214141845703,1907.0,0.19811968505382538,128.0,-3.0727033615112305,-0.022928187623620033,-0.917868435382843,-5.141280651092529,-0.2589355409145355,-1.07240891456604,1.854052186012268,-0.0038432416040450335
12,,,,,,,,,,-5.814539432525635,0.0001316872367169708,-0.04856695607304573,0.15490467846393585,0.04823613166809082,0.011898040771484375,1596.0,0.19793649017810822,135.5,-3.259216785430908,-0.022304601967334747,-0.93968266248703,-6.795370578765869,-0.4555695056915283,-0.5123386383056641,1.8167306184768677,-0.014329089783132076
13,,,,,,,,,,-5.840540885925293,5.852766480529681e-05,-0.06624376028776169,0.40582531690597534,0.04842805862426758,0.011924028396606445,1590.0,0.19779163599014282,135.5,-3.259216785430908,-0.023932047188282013,-0.5837138891220093,-3.3630294799804688,-0.19787566363811493,-0.352858304977417,1.906328558921814,-0.0026949765160679817
14,-0.011375181376934052,-0.2148086577653885,-1.4892057180404663,-0.13246183097362518,-0.31755176186561584,0.9429419636726379,-0.002944478066638112,1.0,0.0,-5.85613489151001,8.77914935699664e-05,-0.04820320010185242,0.04955969378352165,0.050049781799316406,0.012178182601928711,1542.0,0.19772055745124817,136.77777099609375,-3.3055500984191895,-0.023122824728488922,-0.11774707585573196,-0.6045165657997131,-0.23918676376342773,-0.40813443064689636,1.9896138906478882,-0.004406750202178955
15,,,,,,,,,,-5.8702802658081055,3.9018443203531206e-05,-0.0567503422498703,0.01197492890059948,0.05110573768615723,0.011796236038208008,1526.0,0.19761614501476288,136.77777099609375,-3.3055500984191895,-0.02262454479932785,-0.06609154492616653,-0.5816856026649475,-0.4392637312412262,-0.8023965954780579,1.9978513717651367,-0.005796337965875864
16,,,,,,,,,,-5.878264427185059,5.852766480529681e-05,-0.040604185312986374,0.041569795459508896,0.04971718788146973,0.01198577880859375,1555.0,0.19762328267097473,136.77777099609375,-3.3055500984191895,-0.021855592727661133,-0.1381537914276123,-1.5460697412490845,-0.4302685260772705,-1.245240330696106,1.9836622476577759,-0.01079536322504282
17,,,,,,,,,,-5.867917060852051,5.852766480529681e-05,-0.052089396864175797,0.2695890963077545,0.04058480262756348,0.012110233306884766,1821.0,0.19776315987110138,136.77777099609375,-3.3055500984191895,-0.02390999160706997,-0.9569146037101746,-5.306372165679932,-0.2892458736896515,-1.2505666017532349,1.8585561513900757,-0.003917895723134279
18,,,,,,,,,,-5.860961437225342,5.852766480529681e-05,-0.05391104146838188,0.3484624922275543,0.05027890205383301,0.012508153915405273,1528.0,0.19767305254936218,138.8333282470703,-3.4812939167022705,-0.024209797382354736,-0.9366138577461243,-7.338600158691406,-0.4465063810348511,-0.6212273240089417,1.8129491806030273,-0.01240722369402647
19,,,,,,,,,,-5.875743865966797,8.77914935699664e-05,-0.053937558084726334,0.3097648620605469,0.04864001274108887,0.011964797973632812,1584.0,0.19758637249469757,138.8333282470703,-3.4812939167022705,-0.021710986271500587,-0.5391713976860046,-3.0726916790008545,-0.14906948804855347,-0.38880062103271484,1.9170775413513184,-0.0022345350589603186
20,,,,,,,,,,-5.889833450317383,5.852766480529681e-05,-0.042184945195913315,0.07557022571563721,0.052574872970581055,0.013206958770751953,1459.0,0.19751222431659698,139.3076934814453,-3.5291926860809326,-0.022684253752231598,-0.14901743829250336,-0.8999660611152649,-0.23596560955047607,-0.3951060473918915,1.980762004852295,-0.004046848975121975
21,,,,,,,,,,-5.893329620361328,5.852766480529681e-05,-0.04416491463780403,0.011885460466146469,0.04940199851989746,0.011634111404418945,1572.0,0.1975483000278473,139.3076934814453,-3.5291926860809326,-0.022439802065491676,-0.04840250313282013,-0.538672685623169,-0.42605355381965637,-0.7595367431640625,1.9970507621765137,-0.004699009004980326
22,,,,,,,,,,-5.898951053619385,0.0001316872367169708,-0.05138542503118515,0.016883717849850655,0.04779815673828125,0.01137995719909668,1622.0,0.19735147058963776,139.3076934814453,-3.5291926860809326,-0.023904040455818176,-0.07805543392896652,-1.2545902729034424,-0.522855818271637,-1.2518128156661987,1.9908126592636108,-0.010871020145714283
