iteration,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/bowling,reward/failure,reward/upright
0,-1.53091299533844,2.9629629352712072e-05,-0.03935756906867027,0.03741611912846565,1.0580599308013916,0.01199793815612793,89.0,0.19969092309474945,,,-0.006011329125612974,0.3449711799621582,0.0,0.9997563362121582
1,-1.540597677230835,0.0003375000087544322,-0.017821893095970154,0.05775262787938118,0.9198668003082275,0.010785102844238281,103.0,0.19926394522190094,,,-0.006793634966015816,0.48340973258018494,0.0,0.9997470378875732
2,-1.5721632242202759,6.666666740784422e-05,-0.04548821970820427,0.02698480896651745,0.9692370891571045,0.010219812393188477,98.0,0.19851809740066528,,,-0.00685633672401309,0.48464512825012207,0.0,0.9997867941856384
3,-1.593066692352295,0.0005062500131316483,-0.021909428760409355,0.03445251286029816,0.94610595703125,0.012346982955932617,100.0,0.19784003496170044,,,-0.006478796247392893,0.4772513210773468,0.0,0.9998345971107483
4,-1.640523910522461,9.999999747378752e-05,-0.03698904067277908,0.028486013412475586,0.9359879493713379,0.010181903839111328,101.0,0.19671279191970825,,,-0.006154424976557493,0.481005996465683,0.0,0.9997673034667969
5,-1.6704411506652832,0.00022499999613501132,-0.02595679648220539,0.029201239347457886,0.9537279605865479,0.010498046875,99.0,0.1961355060338974,,,-0.006527097430080175,0.48189839720726013,0.0,0.9998127818107605
6,-1.6834444999694824,6.666666740784422e-05,-0.035138532519340515,0.02494492195546627,0.9551780223846436,0.010217905044555664,99.0,0.19625480473041534,,,-0.006900856737047434,0.4846097230911255,0.0,0.999798595905304
7,-1.6764676570892334,9.999999747378752e-05,-0.026904914528131485,0.027381744235754013,0.9104089736938477,0.0100860595703125,104.0,0.1964455395936966,,,-0.005885192658752203,0.486098051071167,0.0,0.999798059463501
8,-1.6752870082855225,0.0001500000071246177,-0.03337327390909195,0.061868153512477875,0.9680790901184082,0.01002192497253418,98.0,0.19618423283100128,200.0,5.834333896636963,-0.0058481222949922085,0.3377361595630646,0.0,0.999760091304779
9,-1.6864843368530273,6.666666740784422e-05,-0.037409454584121704,0.02490665763616562,0.9817910194396973,0.010208845138549805,96.0,0.19611485302448273,200.0,5.834333896636963,-0.0057686553336679935,0.4804176986217499,0.0,0.9997269511222839
10,-1.6851212978363037,9.999999747378752e-05,-0.022986864671111107,0.01578008569777012,0.9310650825500488,0.010056018829345703,102.0,0.1961079090833664,200.0,5.834333896636963,-0.005446838680654764,0.4790397584438324,0.0,0.9997661709785461
11,-1.6939738988876343,9.999999747378752e-05,-0.03081023134291172,0.011275406926870346,0.9583761692047119,0.010182857513427734,99.0,0.195746049284935,200.0,5.834333896636963,-0.00634760782122612,0.47878387570381165,0.0,0.9998132586479187
